District,Total Branch,KCCs for AH and Allied Activities No.,KCCs for AH and Allied Activities Amt,Farm Production A/C,Farm Production amt,Dairy no,Dairy Amt,Farm Mech No.,Farm Mech Amt,Poultry No.,Poultry Amt,fisheries no,fisheries Amt,Godown No.,Godown Amt,Clinic No.,Clinic Amt,Other No.,Other Amt,Total IC-Agri Disb No.,Total IC-Agri Disb Amt
Bajali,34,55,17.26,0,0.00,6,3.66,209,331.09,18,10.09,11,9.62,0,0.00,0,0.00,281,405.56,580,777.28
Baksa,34,15,9.02,0,0.00,13,32.07,39,145.56,57,42.66,2,3.50,0,0.00,0,0.00,112,1676.68,238,1909.49
Barpeta,93,94,27.91,0,0.00,108,435.74,178,753.92,79,53.17,82,66.45,0,0.00,0,0.00,382,3971.56,923,5308.75
Biswanath,63,7,3.25,0,0.00,8,5.03,6,22.15,159,102.83,30,25.20,0,0.00,0,0.00,204,1442.69,414,1601.15
Bongaigaon,69,5,0.18,0,0.00,33,18.01,76,304.39,68,37.17,15,10.48,0,0.00,0,0.00,314,1032.70,511,1402.93
Cachar,172,18,11.72,0,0.00,62,25.55,127,493.04,265,169.62,946,675.95,0,0.00,0,0.00,772,2123.70,2190,3499.58
Charaideo,36,10,6.85,0,0.00,2,3.02,2,3.08,96,66.64,2,3.5,0,0.00,0,0.00,38,547.69,150,630.78
Chirang,36,1,0.04,0,0.00,5,4.80,1,1.49,100,42.90,11,6.95,0,0.00,0,0.00,182,678.52,300,734.70
Darrang,70,55,18.46,0,0.00,90,117.80,263,995.13,280,198.78,24,20.03,2,215.02,0,0.00,303,3328.16,1017,4893.38
Dhemaji,51,7,4.28,0,0.00,0,,62,265.71,116,65.56,5,5.36,0,0.00,0,0.00,509,2087.71,699,2428.62
Dhubri,90,8,0.17,0,0.00,25,16.80,61,154.61,150,85.05,45,38.36,0,0.00,0,0.00,454,1253.33,743,1548.32
Dibrugarh,187,52,96.88,1,36.60,38,67.03,136,521.31,628,340.72,42,30.59,0,0.00,0,0.00,636,16104.19,1533,17197.32
Dima Hasao,33,5,6.36,0,0.00,0,,,,1,1.08,,,0,0.00,0,0.00,15,54.82,21,62.26
Goalpara,71,4,5.06,0,0.00,3,0.43,47,195.08,63,34.38,32,28.31,0,0.00,0,0.00,279,2836.64,428,3099.90
Golaghat,126,25,24.03,0,0.00,9,18.26,88,351.27,575,338.27,26,23.60,0,0.00,0,0.00,472,4423.69,1195,5179.12
Hailakandi,47,15,15.71,0,0.00,26,27.97,,,49,30.19,50,29.85,0,0.00,0,0.00,101,211.38,241,315.10
Hojai,66,10,5.67,0,0.00,35,50.75,42,197.75,38,25.38,18,12.05,0,0.00,0,0.00,314,1233.01,457,1524.61
Jorhat,145,9,1.16,0,0.00,38,100.51,64,253.25,645,374.35,60,48.90,0,0.00,0,0.00,502,9505.97,1318,10284.14
Kamrup Metro,181,68,128.29,0,0.00,84,151.11,85,359.43,344,248.75,81,62.48,0,0.00,0,0.00,2170,6190.86,2832,7140.92
Karbi Anglong,62,15,14.91,0,0.00,8,6.80,17,61.39,20,10.66,9,12.24,0,0.00,0,0.00,69,769.59,138,875.59
Kokrajhar,60,43,40.07,0,0.00,12,6.78,10,41.55,23,12.39,30,44.05,0,0.00,0,0.00,342,1080.96,460,1225.80
Lakhimpur,91,33,60.08,0,0.00,28,42.22,179,727.00,221,169.50,88,79.08,0,0.00,0,0.00,427,3524.76,976,4602.64
Majuli,16,7,0.86,0,0.00,0,,,,1,0.26,4,1.62,0,0.00,0,0.00,7,186.83,19,189.57
Morigaon,70,279,85.37,0,0.00,153,98.21,59,237.88,86,58.64,174,135.75,0,0.00,0,0.00,634,1395.95,1385,2011.80
Nagaon,156,85,56.87,0,0.00,171,290.3,324,1472.93,214,163.65,526,482.73,0,0.00,0,0.00,1068,3017.04,2388,5483.52
Nalbari,85,57,17.50,0,0.00,39,69.58,72,301.27,145,94.77,116,74.18,0,0.00,4,4.41,376,3674.51,809,4236.22
Sivasagar,106,38,14.78,0,0.00,24,83.69,81,288.56,554,415.53,36,35.75,0,0.00,0,0.00,384,5229.87,1117,6068.18
Sonitpur,134,71,96.27,0,0.00,25,52.83,203,834.42,108,99.95,49,44.50,0,0.00,0,0.00,372,5218.60,828,6346.57
South Salmara,16,0,,0,0.00,0,,,,,,,,0,0.00,0,0.00,3,52.90,3,52.90
Tamulpur,21,0,0,0,0.00,1,0.5,48,209.67,15,14.6,8,9.14,0,0.00,0,0.00,40,161.12,112,395.03
Tinsukia,151,54,39.32,0,0.00,119,331.03,118,458.30,228,302.09,24,20.92,0,0.00,0,0.00,414,16227.86,957,17379.52
Udalguri,56,3,0.10,0,0.00,3,0.31,1,3.05,23,13.67,3,0.22,0,0.00,0,0.00,58,508.91,91,526.26
West Karbi Anglong,21,2,3.09,0,0.00,6,34.76,0,0,0,0,0,0,0,0.00,0,0.00,5,14.05,13,51.90
