district,Total Branch,During the Quarter Savings Linked No,During the Quarter Savings Linked Amount,During the Quarter Credit Linked No,During the Quarter Credit Linked Amount,Current FY Savings Linked No,Current FY Savings Linked Amount,Current FY Credit Linked No,Current FY Credit Linked Amount,SHG O/S No.,SHG O/S Amt.,SHG NPA No.,SHG NPA Amt.,SHG NPA Amt. %
Bajali,34,211,233.29,228,"1,163.34",211,233.29,228,"1,163.34","3,169","9,212.48",88,81.57,0.89
Baksa,34,438,160.22,391,"1,611.46",438,160.22,391,"1,611.46","4,987","14,039.00",207,137.84,0.98
Barpeta,93,"2,333","1,544.95","1,560","7,116.46","2,507","1,557.69","1,702","7,481.38","13,083","34,187.98",819,521.21,1.52
Biswanath,63,"1,609",316.61,551,"2,280.46","2,132",544.57,"2,409","9,508.35","9,398","24,717.77",768,314.16,1.27
Bongaigaon,69,"1,230",569.14,776,"3,174.29","1,336",582.02,861,"3,624.01","6,740","18,818.80",171,133.99,0.71
Cachar,172,943,711.30,"1,089","3,324.35","1,114",798.83,"1,708","5,498.25","10,237","23,936.16",529,246.41,1.03
Charaideo,36,352,114.04,327,"1,123.34",352,114.04,327,"1,123.34","4,928","14,050.19",114,84.11,0.60
Chirang,36,952,214.98,346,"1,186.73","1,000",219.50,860,"3,018.03","3,911","11,091.16",177,110.29,0.99
Darrang,70,"1,183",699.71,"1,134","4,197.14","1,292",710.24,"1,386","4,901.97","10,669","25,756.23",538,477.71,1.85
Dhemaji,51,"2,559",800.67,"1,498","4,289.26","3,191",936.57,"2,419","6,958.17","9,740","27,849.56",436,229.48,0.82
Dhubri,90,"3,803","1,249.10","1,372","3,705.34","4,501","1,659.19","2,884","7,241.64","12,085","25,121.64",788,410.78,1.64
Dibrugarh,187,"1,936",983.53,"1,601","5,192.57","2,834","1,283.08","3,160","10,082.95","10,832","32,676.18",432,287.55,0.88
Dima Hasao,33,142,6.27,87,322.40,150,6.57,102,360.48,"1,606","4,063.92",71,86.89,2.14
Goalpara,71,764,237.21,665,"2,752.44",820,340.48,909,"3,746.32","7,630","20,718.19",653,347.06,1.68
Golaghat,126,"1,811","1,438.71","1,533","5,779.88","2,651","1,699.16","2,648","10,004.15","12,714","41,202.08",254,301.09,0.73
Hailakandi,47,953,638.92,338,623.72,"1,108",679.91,791,"1,957.29","4,210","8,038.99",587,402.13,5.00
Hojai,66,"1,067",373.45,627,"2,280.98","1,186",399.06,"1,207","3,946.96","6,679","16,178.23",190,143.87,0.89
Jorhat,145,"1,064",732.34,975,"3,773.00","1,289",782.61,"1,455","5,640.88","9,524","27,798.32",124,132.49,0.48
Kamrup,181,"1,172",776.75,"1,346","4,766.91","2,218","1,143.82","3,725","14,161.38","13,422","39,496.91",938,761.60,1.93
Kamrup Metro,473,622,258.76,653,"2,655.15",826,278.58,672,"2,689.99","5,659","14,383.33",259,239.79,1.67
Karbi Anglong,62,177,26.01,326,"1,281.93",177,26.01,326,"1,281.93","7,996","28,007.84",191,66.84,0.24
Kokrajhar,60,"3,083",945.48,"1,061","3,324.16","3,220",968.11,"1,488","4,645.31","7,003","18,112.61",297,213.20,1.18
Lakhimpur,91,"1,820",811.47,"1,478","5,074.73","2,512",921.52,"2,529","7,932.70","13,189","34,406.85",683,250.38,0.73
Majuli,16,105,44.45,201,864.13,105,44.45,201,864.13,"2,450","6,061.17",151,143.79,2.37
Morigaon,70,839,249.85,457,"1,956.17",965,304.34,"1,292","5,368.15","9,574","21,432.96","1,561",732.28,3.42
Nagaon,156,"3,819",724.49,"1,850","7,569.48","4,191",765.42,"2,245","8,838.73","19,613","52,201.43",595,494.49,0.95
Nalbari,85,673,507.76,987,"4,898.83",737,526.81,"1,370","6,234.91","9,524","28,168.67",523,302.55,1.07
Sivasagar,106,920,481.20,861,"2,681.11","1,261",512.50,890,"2,748.16","7,471","19,868.76",153,150.46,0.76
Sonitpur,134,"1,670",882.50,"1,323","4,970.54","1,813",911.10,"1,580","5,809.30","11,071","30,520.30",880,351.77,1.15
South Salmara,16,342,87.90,138,192.34,342,87.90,138,192.34,"1,333","3,094.38",159,57.85,1.87
Sribhumi,95,592,446.69,379,963.74,820,463.78,617,"1,979.82","5,520","12,056.19",560,286.71,2.38
Tamulpur,21,625,377.00,365,"1,359.67",625,377.00,365,"1,359.67","3,540","10,073.22",59,40.23,0.40
Tinsukia,151,"1,341",808.82,"1,213","4,265.62","1,627",858.82,"1,371","4,663.37","9,238","29,345.20",369,202.02,0.69
Udalguri,56,"1,898",805.67,"1,180","4,010.37","1,898",805.67,"1,180","4,010.37","6,096","16,820.94",460,328.53,1.95
West Karbi Anglong,21,340,13.63,113,438.30,340,13.63,113,438.30,"3,185","9,089.04",263,84.80,0.93
