District,Total Branch,Inactive CSP,RuPay card active in PMJDY,First time active RuPay card,Aadhaar Authenticated Sb accounts,RuPay card issued in KCC
Bajali,34,3,"53,045","12,634","107,413","6,482"
Baksa,34,11,"76,198","20,897","162,456","5,549"
Barpeta,93,32,"404,532","82,355","734,417","18,242"
Biswanath,63,7,"118,779","68,437","197,300","8,758"
Bongaigaon,69,10,"190,851","37,282","276,842","10,918"
Cachar,172,139,"420,815","67,031","473,836","12,651"
Charaideo,36,1,"56,525","7,522","73,179","4,711"
Chirang,36,5,"102,847","45,838","197,268","3,957"
Darrang,70,38,"236,938","37,547","372,362","18,044"
Dhemaji,51,18,"317,271","76,212","205,742","9,129"
Dhubri,90,62,"270,063","80,272","568,911","8,924"
Dibrugarh,187,85,"295,199","116,660","440,330","26,070"
Dima Hasao,33,3,"44,759","3,918","45,388",213
Goalpara,71,20,"217,731","46,052","502,878","12,475"
Golaghat,126,33,"230,578","75,297","272,819","22,239"
Hailakandi,47,11,"145,775","29,723","249,714","6,736"
Hojai,66,12,"191,314","45,064","292,336","5,992"
Jorhat,145,80,"147,737","48,883","290,416","18,222"
Kamrup Metro,181,31,"415,207","97,371","636,781","33,970"
Karbi Anglong,62,9,"96,607","13,965","120,875","5,329"
Kokrajhar,60,15,"177,860","43,308","398,505","9,742"
Lakhimpur,91,9,"358,408","85,026","262,133","15,386"
Majuli,16,1,"63,673","5,042","48,445","1,880"
Morigaon,70,38,"238,658","24,704","258,999","13,223"
Nagaon,156,331,"490,519","85,520","745,765","27,793"
Nalbari,85,16,"125,647","31,880","359,264","13,279"
Sivasagar,106,81,"144,695","42,970","210,098","9,016"
Sonitpur,134,135,"194,361","53,958","523,763","14,133"
South Salmara,16,11,"40,908","6,523","125,048",328
Tamulpur,21,11,"74,744","22,864","138,219","2,743"
Tinsukia,151,83,"336,929","65,360","473,952","17,466"
Udalguri,56,26,"156,448","50,098","396,292","12,766"
West Karbi Anglong,21,2,"29,196","4,277","49,426",539
