District,Total Branch,Export Credit A/C,Export Credit Amt,Education (PS) A/C,Education (PS) Amt,Housing (PS) A/C,Housing (PS) Amt,Social Infrastructure A/C,Social Infrastructure Amt,Renewable Energy A/C,Renewable Energy Amt,Informal Credit A/C,Informal Credit Amt,Total Other PS Disb No.,Total Other PS Disb Amt,Loans to weaker No.,Loans to weaker Amt
Bajali,34,0,0.00,25,16.74,298,"1,053.96",0,0,57,63.56,269,181.50,649,"1,315.76","1,995","3,552.79"
Baksa,34,0,0.00,21,16.88,40,266.43,0,0,135,185.77,79,191.49,275,660.57,"1,474","4,103.58"
Barpeta,93,0,0.00,72,72.77,296,"1,468.82",0,0,1138,1416.93,"1,787","1,433.90","3,293","4,392.42","8,777","21,750.89"
Biswanath,63,0,0.00,37,40.74,82,432.19,0,0,572,757.26,607,476.67,"1,298","1,706.86","3,567","5,282.38"
Bongaigaon,69,0,0.00,37,53.75,104,894.04,0,0,338,417.35,"1,215",970.55,"1,694","2,335.69","5,247","11,694.45"
Cachar,172,0,0.00,129,171.35,393,"1,423.95",1,0.04,82,91.95,"6,418","3,738.88","7,023","5,426.17","13,753","21,058.92"
Charaideo,36,0,0.00,22,18.58,28,207.08,0,0,70,109.33,343,310.21,463,645.20,"1,988","2,354.35"
Chirang,36,0,0.00,21,23.83,45,263.29,1,2.85,490,674.99,451,506.06,"1,008","1,471.02","2,761","4,994.16"
Darrang,70,0,0.00,60,72.88,225,"1,216.61",0,0,325,420.59,"1,074",903.71,"1,684","2,613.79","6,546","14,860.40"
Dhemaji,51,0,0.00,44,42.86,196,"1,426.78",0,0,357,533.77,485,907.96,"1,082","2,911.37","3,825","8,214.99"
Dhubri,90,0,0.00,43,52.58,201,787.64,0,0,1539,1933.85,"2,056","1,924.05","3,839","4,698.12","7,989","13,796.77"
Dibrugarh,187,0,0.00,128,186.52,351,"1,745.96",0,0,110,166.13,"1,335","1,697.84","1,924","3,796.45","13,931","17,608.50"
Dima Hasao,33,0,0.00,8,8.21,20,109.10,0,0,40,38.84,-,-,68,156.15,461,"1,104.15"
Goalpara,71,0,0.00,33,38.83,99,688.06,0,0,817,1184.05,1282,1169.58,"2,231","3,080.52","4,962","12,023.29"
Golaghat,126,0,0.00,79,68.31,157,"1,030.97",0,0,243,370.62,"1,464",867.03,"1,943","2,336.93","7,479","11,179.99"
Hailakandi,47,0,0.00,18,12.53,49,343.66,0,0,17,14.48,"1,172",667.60,"1,256","1,038.27","2,908","3,102.63"
Hojai,66,0,0.00,48,56.57,47,394.25,0,0,1027,1239.03,918,590.91,"2,040","2,280.76","4,485","7,939.64"
Jorhat,145,0,0.00,132,145.73,373,"2,085.13",0,0,484,760.78,"1,493",936.09,"2,482","3,927.73","7,262","11,647.17"
Kamrup Metro,181,0,0.00,242,233.32,"1,034","2,556.47",0,0,118,241.49,"2,558","2,130.70","3,952","5,161.98","12,304","20,483.56"
Karbi Anglong,62,0,0.00,20,24.74,73,696.03,0,0.00,273,386.03,372,249.07,738,"1,355.87","2,310","5,098.98"
Kokrajhar,60,0,0.00,28,25.38,180,908.83,0,0,679,892.53,"1,181","1,231.05","2,068","3,057.79","6,681","12,046.74"
Lakhimpur,91,0,0.00,74,83.91,241,"1,855.69",0,0,1131,1486.68,741,696.26,"2,187","4,122.54","8,668","14,522.22"
Majuli,16,0,0.00,6,2.05,61,447.80,0,0,158,219.39,95,292.25,320,961.49,"1,096","2,298.50"
Morigaon,70,0,0.00,41,40.64,69,555.47,0,0,221,325.75,954,653.60,"1,285","1,575.46","3,949","6,358.34"
Nagaon,156,0,0.00,73,85.17,349,"2,492.10",0,0,871,1048.22,"2,577","1,524.80","3,870","5,150.29","15,799","24,920.58"
Nalbari,85,0,0.00,74,90.22,198,"1,599.16",0,0,243,322.71,"1,129",891.92,"1,644","2,904.01","5,075","13,301.78"
Sivasagar,106,0,0.00,84,102.24,185,773.59,0,0,169,244.36,874,724.34,"1,312","1,844.53","5,499","10,330.19"
Sonitpur,134,0,0.00,91,116.18,313,"1,713.45",0,0,150,207.16,"1,729","2,725.63","2,283","4,762.42","7,918","15,792.04"
South Salmara,16,0,0.00,7,4.09,15,80.96,0,0,194,282.51,30,144.80,246,512.36,483,"1,297.25"
Tamulpur,21,0,0.00,30,24.98,44,252.04,1,0,35,48.03,87,167.86,197,492.91,"1,057","2,826.79"
Tinsukia,151,0,0.00,91,110.53,155,"1,137.90",1,5.98,98,129.3,914,766.54,"1,259","2,150.25","6,969","14,528.78"
Udalguri,56,0,0.00,49,38.65,132,682.92,0,0,107,138.89,536,608.99,824,"1,469.45","3,887","7,864.02"
West Karbi Anglong,21,0,0.00,4,3.29,10,50.25,0,0,332,367.55,0,0,346,421.09,680,"1,214.76"
