district,Total Branch,Current Year Crop Loan Achievement Amount,Kharif No. of Farmers covered under PMFBY,Kharif Amount insured under PMFBY,Kharif Insurance Number (Others),Kharif Insurance Amount (Others),Rabi No. of Farmers covered under PMFBY,Rabi Amount insured under PMFBY,Rabi Insurance Number (Others),Rabi Insurance Amount (Others)
Bajali,34,794.85,4,0,0,0.00,0,0.00,0,0.00
Baksa,34,355.06,71,35.76,0,0.00,0,0.00,0,0.00
Barpeta,93,"2,599.87",2366,852.88,0,0.00,2,0.90,0,0.00
Biswanath,63,853.72,117,71.66,0,0.00,0,0.00,0,0.00
Bongaigaon,69,"2,774.28",786,257.23,1,0.02,0,0.00,0,0.00
Cachar,172,"1,521.64",377,209.82,1,0.01,5,6.10,0,0.00
Charaideo,36,517.84,113,69.7,0,0.00,2,3.10,0,0.00
Chirang,36,937.26,754,253.77,0,0.00,0,0.00,0,0.00
Darrang,70,"2,149.87",115,64.06,0,0.00,4,7.46,0,0.00
Dhemaji,51,"1,441.47",74,42.52,0,0.00,0,0.00,0,0.00
Dhubri,90,"1,284.50",124,28.21,0,0.00,0,0.00,0,0.00
Dibrugarh,187,"4,042.69",6287,4027.91,0,0.00,5,4.26,0,0.00
Dima Hasao,33,47.06,0,0,0,0.00,0,0.00,0,0.00
Goalpara,71,"1,694.61",144,52.39,0,0.00,0,0.00,0,0.00
Golaghat,126,"1,978.93",637,348.39,0,0.00,0,0.00,0,0.00
Hailakandi,47,368.08,78,67.49,0,0.00,10,15.53,0,0.00
Hojai,66,"1,136.63",949,369.3,0,0.00,1,0.50,0,0.00
Jorhat,145,"1,618.27",3674,1340.82,0,0.00,0,0.00,0,0.00
Kamrup,181,"2,593.46",301,170.93,0,0.00,0,0.00,0,0.00
Kamrup Metro,473,"1,465.00",280,132.05,0,0.00,0,0.00,0,0.00
Karbi Anglong,62,367.70,552,304.61,0,0.00,20,17.77,0,0.00
Kokrajhar,60,"1,790.38",47,37.48,0,0.00,1,1.56,0,0.00
Lakhimpur,91,"2,800.70",539,313.26,0,0.00,0,0.00,0,0.00
Majuli,16,225.75,34,12.32,0,0.00,0,0.00,0,0.00
Morigaon,70,"1,132.37","1,237",525.89,0,0.00,3,1.50,0,0.00
Nagaon,156,"3,889.61",4806,1512.84,0,0.00,0,0.00,0,0.00
Nalbari,85,"1,769.14",273,129.09,0,0.00,0,0.00,0,0.00
Sivasagar,106,"1,476.74",3416,798.44,0,0.00,0,0.00,0,0.00
Sonitpur,134,"1,750.24",2121,1068.02,0,0.00,0,0.00,0,0.00
South Salmara,16,1.68,6,3.65,0,0.00,0,0.00,0,0.00
Sribhumi,95,532.98,408,143.96,0,0.00,0,0.00,0,0.00
Tamulpur,21,410.07,42,18.9,0,0.00,0,0.00,0,0.00
Tinsukia,151,"3,792.21",4231,2001.64,0,0.00,0,0.00,0,0.00
Udalguri,56,"1,092.86",3080,1745.25,0,0.00,0,0.00,0,0.00
West Karbi Anglong,21,249.31,0,0,0,0.00,0,0.00,0,0.00
