district,Total Branch,Enrolment under PMJJBY,Eligible cases under PMJJBY,Renewals under PMJJBY,Enrolment under PMSBY,Eligible cases under PMSBY,Renewals under PMSBY,Enrolment under APY,Total Enrolment No.
Bajali,34,"33,937","212,134","19,897","99,659","313,813","103,049","17,692","151,288"
Baksa,34,"52,811","257,068","38,774","147,941","391,222","147,179","24,736","225,488"
Barpeta,94,"267,816","1,113,082","115,592","539,854","1,717,777","493,294","87,174","894,844"
Biswanath,63,"85,301","431,690","51,054","234,910","630,497","211,405","51,683","371,894"
Bongaigaon,69,"71,785","540,789","53,212","249,775","758,866","243,428","36,016","357,576"
Cachar,175,"139,966","1,240,783","115,331","414,675","1,805,598","390,592","72,391","627,032"
Charaideo,36,"88,456","252,691","29,134","129,807","346,044","122,925","28,117","246,380"
Chirang,36,"57,104","320,927","41,608","176,695","488,709","166,894","20,939","254,738"
Darrang,70,"258,359","734,635","69,111","330,025","1,055,811","294,796","55,569","643,953"
Dhemaji,52,"84,986","455,844","62,150","248,049","672,513","233,959","66,311","399,346"
Dhubri,91,"453,132","1,168,566","95,819","518,741","1,677,607","456,877","87,743","1,059,616"
Dibrugarh,189,"146,695","1,111,716","104,134","420,427","1,581,105","399,020","86,826","653,948"
Dima Hasao,34,"21,541","119,925","18,957","64,831","175,389","60,676","9,921","96,293"
Goalpara,71,"188,349","680,431","64,321","338,421","1,059,950","302,246","57,608","584,378"
Golaghat,127,"99,684","775,850","80,541","338,779","1,082,801","322,937","68,893","507,356"
Hailakandi,47,"64,573","430,680","34,703","153,384","638,866","143,461","30,953","248,910"
Hojai,67,"91,695","714,164","76,980","275,813","1,002,509","261,329","41,645","409,153"
Jorhat,146,"93,992","796,470","76,156","299,889","1,115,377","290,751","56,262","450,143"
Kamrup,183,"210,351","1,281,643","126,364","518,437","1,824,526","478,295","79,423","808,211"
Kamrup Metro,474,"166,955","1,918,292","126,891","429,318","2,670,310","394,966","97,674","693,947"
Karbi Anglong,63,"59,645","227,036","48,334","162,616","369,952","154,994","51,557","273,818"
Kokrajhar,61,"159,716","530,786","69,839","326,458","883,805","290,771","37,107","523,281"
Lakhimpur,92,"108,939","656,297","84,846","353,330","965,188","336,399","67,105","529,374"
Majuli,17,"37,688","142,614","8,086","40,577","185,867","36,500","12,371","90,636"
Morigaon,70,"55,150","839,892","46,420","230,409","1,095,478","216,754","46,254","331,813"
Nagaon,156,"158,966","1,388,235","142,950","659,221","2,100,596","639,026","111,468","929,655"
Nalbari,87,"153,779","578,518","58,339","268,257","850,935","244,348","35,308","457,344"
Sivasagar,107,"100,558","536,719","72,206","250,032","770,596","234,601","41,096","391,686"
Sonitpur,135,"311,328","927,382","89,206","381,086","1,313,226","326,800","74,438","766,852"
South Salmara,17,"111,441","142,076","8,730","61,137","240,183","52,518","9,732","182,310"
Sribhumi,96,"69,421","818,432","59,197","227,494","1,168,714","219,762","49,462","346,377"
Tamulpur,21,"47,229","187,776","26,875","110,388","321,413","105,041","17,976","175,593"
Tinsukia,152,"138,580","1,123,221","100,710","366,254","1,556,438","341,921","69,082","573,916"
Udalguri,56,"194,536","599,664","75,801","313,939","950,075","284,644","38,496","546,971"
West Karbi Anglong,21,"16,504","72,581","15,978","57,117","131,445","56,386","18,466","92,087"
