District,Total Branch,Sep-I No.,Sep-I Amt,Sep-G No.,Sep-G Amt,Sep-G No. of Beneficiary,SHG No.,SHG Amt,SHG No. of Beneficiary,Women SHG No.,Women SHG Amt,Women SHG No. of Beneficiary,Total Current Year NULM Disb No.,Total Current Year NULM Disb Amt,NULM O/S No.,NULM O/S Amt,NULM NPA No.,NULM NPA Amt,NULM NPA Pct
Bajali,34,0,0.00,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,198,530.92,9,4.88,0.92
Baksa,34,0,0.00,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,71,227.58,15,9.25,4.06
Barpeta,93,25,4.50,0,0.00,0,2,8.00,72,2,8.00,72,27,12.50,1180,2900.48,214,57.84,1.99
Biswanath,63,0,0.00,0,0.00,0,3,9.50,196,3,9.50,196,3,9.50,109,259.53,2,0.79,0.30
Bongaigaon,69,0,0.00,1,2.00,1,8,6.50,53,4,10.50,55,9,8.50,116,204.68,22,13.23,6.46
Cachar,172,4,6.71,1,0.00,1,13,43.35,53,13,43.35,53,18,50.06,548,976.14,66,32.30,3.31
Charaideo,36,0,0.00,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,24,32.25,5,4.38,13.58
Chirang,36,0,0.00,0,0.00,0,0,0.00,0,1,3.00,0,0,0.00,88,148.53,5,3.00,2.02
Darrang,70,0,0.00,0,0.00,0,8,28.97,18,8,28.97,18,8,28.97,350,703.97,29,21.75,3.09
Dhemaji,51,0,0.00,0,0.00,0,24,112.13,43,24,112.13,43,24,112.13,240,563.68,41,58.43,10.37
Dhubri,90,0,0.00,0,0.00,0,2,12.00,92,2,12.00,92,2,12.00,496,528.74,184,119.22,22.55
Dibrugarh,187,4,7.20,2,6.00,20,16,27.50,995,8,27.50,987,22,40.70,750,1936.57,98,99.34,5.13
Dima Hasao,33,0,0.00,3,12.00,30,3,12.00,30,3,12.00,30,6,24.00,81,150.21,16,18.24,12.14
Goalpara,71,0,0.00,0,0.00,0,0,0.00,0,1,3.00,1,0,0.00,174,213.41,99,81.25,38.07
Golaghat,126,0,0.00,0,0.00,0,5,16.60,25,4,13.60,24,5,16.60,230,561.40,25,15.32,2.73
Hailakandi,47,1,1.90,0,0.00,0,2,5.00,191,1,0.00,188,3,6.90,407,623.55,74,46.62,7.48
Hojai,66,0,0.00,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,356,791.88,62,32.41,4.09
Jorhat,145,0,0.00,2,0.51,16,8,33.90,8,7,30.90,7,10,34.41,890,2291.14,20,14.06,0.61
Kamrup Metro,181,1,0.03,0,0.00,0,5,16.0,26,3,12.00,24,6,16.03,390,968.68,27,27.06,2.79
Karbi Anglong,62,0,0.00,0,0.00,0,1,3.00,10,1,3.00,10,1,3.00,57,135.26,0,0.00,0.00
Kokrajhar,60,13,32.65,2,7.00,20,3,7.00,48,2,7.00,47,18,46.65,95,187.17,8,11.95,6.38
Lakhimpur,91,1,3.00,1,4.00,10,12,42.60,61,11,39.60,61,14,49.60,424,667.52,152,65.18,9.76
Majuli,16,0,0.00,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,25,25.76,13,6.67,25.89
Morigaon,70,0,0.00,0,0.00,0,2,7.50,2,1,4.50,1,2,7.50,619,714.17,362,222.18,31.11
Nagaon,156,1,0.60,1,7.00,10,11,42.00,33,11,42.00,33,13,49.60,853,2433.27,30,23.02,0.95
Nalbari,85,2,0.35,0,0.00,0,1,0.00,1,0,0.00,0,3,0.35,225,551.34,13,10.00,1.81
Sivasagar,106,0,0.00,11,57.93,80,9,44.90,164,8,40.90,163,20,102.83,243,552.33,26,26.58,4.81
Sonitpur,134,0,0.00,0,0.00,0,17,91.00,393,18,92.00,393,17,91.00,456,1271.93,9,10.79,0.85
South Salmara,16,0,0.00,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,4,9.40,0,0.00,0.00
Tamulpur,21,0,0.00,0,0.00,0,4,9.50,4,3,9.50,3,4,9.50,51,133.91,0,0.00,0.00
Tinsukia,151,3,8.50,2,11.00,15,18,69.01,113,18,69.01,113,23,88.51,1612,4626.92,73,46.75,1.01
Udalguri,56,0,0.00,0,0.00,0,5,12.34,5,4,12.20,4,5,12.34,75,164.08,5,3.82,2.33
West Karbi Anglong,21,0,0.00,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,67,247.95,0,0.00,0.00
