District,Total Branch,CHRISTIANS No.,CHRISTIANS Amt,MUSLIMS No.,MUSLIMS Amt,BUDDHIST S No.,BUDDHISTS Amt,SIKHS No.,SIKHS Amt,ZORASTRIAN S No.,ZORASTRIANS Amt,JAINS No.,JAINS Amt,Tot Minority Disb No.,Tot Minority Disb Amt
Bajali,34,1,1.00,633,"1,358.02",-,0,-,0,0,0,0,0,634,"1,359.02"
Baksa,34,11,15.84,203,590.54,-,0,-,-,0,0,3,432.08,217,"1,038.46"
Barpeta,93,14,105.05,"7,247","20,149.12",5,19.81,-,-,1,2.16,3,170.4,"7,270","20,446.54"
Biswanath,63,50,60.23,648,"1,036.09",1,1.5,-,-,0,0,3,19.23,702,"1,117.05"
Bongaigaon,69,126,333.68,"2,619","7,918.90",46,40.87,9,81.70,0,0,4,368.25,"2,804","8,743.40"
Cachar,172,223,588.94,"5,293","14,139.33",9,28.5,5,1.20,0,0,15,1399.34,"5,545","16,157.31"
Charaideo,36,27,27.04,175,341.38,8,13.84,4,5.55,0,0,0,0,214,387.81
Chirang,36,50,102.26,883,"1,905.85",-,0,1,0,0,0,-,-,934,"2,008.11"
Darrang,70,24,112.64,"5,150","12,408.97",3,3.73,-,0,0,0,7,240.76,"5,184","12,766.10"
Dhemaji,51,19,81.49,72,213.94,3,12,3,0,0,0,4,1.80,101,309.23
Dhubri,90,55,38.26,"6,897","13,304.82",-,0,4,0.05,1,35,6,333.35,"6,963","13,711.48"
Dibrugarh,187,128,429.23,956,"2,816.41",13,20.96,34,320.58,0,0,14,514.12,"1,145","4,101.30"
Dima Hasao,33,278,"1,291.41",30,158.57,2,12.95,-,-,0,0,0,0,310,"1,462.93"
Goalpara,71,200,241.17,"2,990","9,454.98",1,7.59,2,0.30,2,1.34,3,60.91,"3,198","9,766.29"
Golaghat,126,108,340.01,917,"2,206.40",15,22.27,23,108.85,0,0,14,268.79,"1,077","2,946.32"
Hailakandi,47,26,83.55,"1,539","3,132.08",-,0,1,-,0,0,-,-,"1,566","3,215.63"
Hojai,66,18,61.25,"2,191","4,557.24",1,1,12,23.00,0,0,2,25.35,"2,224","4,667.84"
Jorhat,145,85,259.30,783,"2,325.71",31,198.59,18,824.50,2,140.15,14,876.03,933,"4,624.28"
Kamrup Metro,181,113,194.26,"5,783","11,648.29",18,75.04,2,0.51,0,0,19,755.17,"5,935","12,673.27"
Karbi Anglong,62,211,571.05,88,479.75,3,3.85,3,0.95,0,0,3,42.37,308,"1,097.97"
Kokrajhar,60,228,662.68,"2,208","4,498.57",1,0.27,1,1.98,0,0,-,0,"2,438","5,163.50"
Lakhimpur,91,98,275.18,"2,781","5,480.98",5,54.27,3,0.11,1,1.3,2,275.40,"2,890","6,087.24"
Majuli,16,2,12.5,5,42.82,-,0,0,0,0,0,0,0,7,55.32
Morigaon,70,6,16.84,"2,200","3,226.31",3,16.2,-,-,0,0,-,-,"2,209","3,259.35"
Nagaon,156,88,138.03,"13,684","22,104.35",1,1.25,15,76.27,0,0,12,783.65,"13,800","23,103.55"
Nalbari,85,7,14.13,"2,212","6,768.64",3,4.81,1,10.07,0,0,10,972.10,"2,233","7,769.75"
Sivasagar,106,38,83.77,"1,286","6,961.90",36,33.96,5,4.00,0,0,3,27.81,"1,368","7,111.44"
Sonitpur,134,227,577.22,"2,899","7,120.21",27,360.65,13,18.30,0,0,3,154.07,"3,169","8,230.45"
South Salmara,16,-,-,497,"1,562.27",-,0,3,-,0,0,-,-,500,"1,562.27"
Tamulpur,21,9,11.53,114,218.96,0,0,7,0,0,0,0,0,130,230.49
Tinsukia,151,100,627.25,495,"2,173.15",49,260.45,25,203.98,0,0,19,"1,154.69",688,"4,419.52"
Udalguri,56,245,697.69,453,"1,903.49",3,9.38,3,0,0,0,2,1.50,706,"2,612.06"
West Karbi Anglong,21,60,126.39,7,44.82,-,0,2,1.31,1,0.5,0,0,70,173.02
