district,Total Branch,NRLM O/S No.,NRLM O/S Amt.,NRLM Irregular A/C No,NRLM Irregular A/C Amt,NRLM NPA NO,NRLM NPA AMT,NULM O/S No.,NULM O/S Amt.,NULM NPA NO,NULM NPA AMT,PMEGP O/S No.,PMEGP O/S Amt.,PMEGP NPA NO,PMEGP NPA AMT,SHG O/S No.,SHG O/S Amt.,SHG NPA NO,SHG NPA AMT,SUI O/S No.,SUI O/S Amt.,SUI NPA NO,SUI NPA AMT
Bajali,34,"3,492","9,927.20",29,47.43,30,31.11,198,530.92,9,4.88,284,968.30,87,151.38,"3,169","9,212.48",88,81.57,14,213.87,2,14.45
Baksa,34,"4,983","14,498.95",70,147.98,163,163.91,71,227.58,15,9.25,531,866.11,324,417.40,"4,987","14,039.00",207,137.84,10,179.52,1,9.63
Barpeta,93,"11,187","30,165.79",265,381.42,423,316.26,"1,180","2,900.48",214,57.84,"1,295","3,067.21",560,830.92,"13,083","34,187.98",819,521.21,59,978.31,7,99.88
Biswanath,63,"9,546","26,927.59",262,623.62,135,161.90,109,259.53,2,0.79,286,792.00,103,135.90,"9,398","24,717.77",768,314.16,20,255.16,3,20.09
Bongaigaon,69,"6,480","18,499.93",278,405.07,97,90.22,116,204.68,22,13.23,623,"1,660.13",255,360.76,"6,740","18,818.80",171,133.99,60,785.26,14,107.99
Cachar,172,"9,437","23,963.59",239,321.21,183,145.36,548,976.14,66,32.3,"1,104","3,376.95",430,763.45,"10,237","23,936.16",529,246.41,82,"1,208.75",9,75.44
Charaideo,36,"4,596","13,297.95",69,72.99,74,60.22,24,32.25,5,4.38,164,402.14,90,171.50,"4,928","14,050.19",114,84.11,16,239.61,3,37.41
Chirang,36,"4,181","12,165.34",162,228.10,106,85.99,88,148.53,5,3,994,"1,254.39",752,733.07,"3,911","11,091.16",177,110.29,27,355.87,1,14.61
Darrang,70,"8,708","23,786.03",239,388.96,108,102.82,350,703.97,29,21.75,559,"1,139.59",271,408.49,"10,669","25,756.23",538,477.71,40,566.85,14,131.50
Dhemaji,51,"8,471","24,427.47",327,481.83,149,91.16,240,563.68,41,58.43,919,"2,384.23",372,654.83,"9,740","27,849.56",436,229.48,18,282.68,-,0.06
Dhubri,90,"10,476","22,582.67",427,507.41,419,257.67,496,528.74,184,119.22,"1,407","2,420.71",670,719.35,"12,085","25,121.64",788,410.78,32,604.27,0,0.05
Dibrugarh,187,"10,228","32,226.78",406,761.67,292,206.00,750,"1,936.57",98,99.34,"1,321","3,942.63",580,"1,115.95","10,832","32,676.18",432,287.55,170,"2,146.03",24,290.96
Dima Hasao,33,"1,419","3,666.98",88,185.21,37,70.87,81,150.21,16,18.24,227,522.07,70,125.85,"1,606","4,063.92",71,86.89,11,122.59,1,7.07
Goalpara,71,"7,974","23,619.96",182,308.34,127,91.40,174,213.41,99,81.25,616,"1,031.08",400,480.15,"7,630","20,718.19",653,347.06,33,373.31,13,65.4
Golaghat,126,"12,267","40,085.89",434,917.60,169,239.27,230,561.40,25,15.32,634,"1,435.11",386,552.91,"12,714","41,202.08",254,301.09,53,890.60,7,71.32
Hailakandi,47,"3,975","8,193.97",310,363.57,326,298.27,407,623.55,74,46.62,656,"1,826.37",248,401.30,"4,210","8,038.99",587,402.13,19,295.11,1,11.01
Hojai,66,"6,355","16,220.27",171,157.05,82,70.45,356,791.88,62,32.41,368,"1,056.00",118,241.64,"6,679","16,178.23",190,143.87,71,881.07,24,105.63
Jorhat,145,"9,055","27,190.59",208,354.27,81,114.70,890,"2,291.14",20,14.06,493,"1,318.09",210,293.31,"9,524","27,798.32",124,132.49,103,"2,059.47",12,173.28
Kamrup Metro,181,"14,863","44,918.58",421,924.97,439,383.21,390,968.68,27,27.06,"1,355","2,980.96",618,785.47,"13,422","39,496.91",938,761.60,98,"1,737.85",9,102.31
Karbi Anglong,62,"7,252","26,289.77",47,53.77,77,47.55,57,135.26,-,-,383,643.67,171,163.92,"7,996","28,007.84",191,66.84,59,954.96,9,112.96
Kokrajhar,60,"6,617","17,661.03",450,565.93,135,158.01,95,187.17,8,11.95,"1,571","2,267.28","1,116","1,224.18","7,003","18,112.61",297,213.20,37,914.41,2,11.04
Lakhimpur,91,"11,866","32,095.28",447,738.58,188,127.82,424,667.52,152,65.18,"1,141","3,403.49",517,856.46,"13,189","34,406.85",683,250.38,60,812.33,11,78.73
Majuli,16,"2,282","5,654.35",87,120.11,88,118.87,25,25.76,13,6.67,172,399.86,43,86.29,"2,450","6,061.17",151,143.79,15,153.53,-,-
