District,Total Branch,Farm Credit Crop No.,Farm Credit Crop Amt,Farm Credit Term Loan No.,Farm Credit Term Loan Amt,Agri Infra No.,Agri Infra Amt,Ancillary No.,Ancillary Amt,Agri Total O/S No.,Agri Total O/S Amt
Bajali,34,7936,9079.60,11794,12251.25,9,28.10,359,847.22,20098,22206.17
Baksa,34,9848,9702.69,7497,11310.50,2,7.73,468,1938.80,17815,22959.72
Barpeta,93,36778,38884.27,25896,32172.00,12,858.02,2779,11067.70,65465,82981.99
Biswanath,63,23742,23830.14,15288,18118.38,9,1225.57,1589,10518.24,40628,53692.33
Bongaigaon,69,14722,19437.11,17109,16905.97,3,7.99,1999,6290.58,33833,42641.65
Cachar,172,46540,33038.55,33031,26974.83,27,3353.24,5028,13729.11,84626,77095.73
Charaideo,36,10979,8890.30,9730,12194.74,4,3.81,705,4225.67,21418,25314.52
Chirang,36,12247,11824.53,6977,8194.39,3,11.46,1151,1958.52,20378,21988.90
Darrang,70,24415,25378.59,29309,27280.26,13,410.96,2389,12537.14,56126,65606.95
Dhemaji,51,24080,21001.67,12625,17825.20,12,93.98,1839,5117.29,38556,44038.14
Dhubri,90,29323,23188.54,18714,18232.87,4,26.43,3467,9204.37,51508,50652.21
Dibrugarh,187,55708,51142.85,32590,30854.09,27,6441.51,3988,46665.18,92313,135103.63
Dima Hasao,33,1368,728.26,1922,3999.48,0,0,286,696.24,3576,5423.98
Goalpara,71,23792,24045.83,13124,16274.84,14,13.49,1719,5710.15,38649,46044.31
Golaghat,126,50815,39420.32,30126,35825.08,22,358.77,3379,21375.16,84342,96979.33
Hailakandi,47,16675,10574.92,6814,6955.99,6,834.06,2149,2421.63,25644,20786.60
Hojai,66,21069,17796.17,10530,12331.42,14,607.39,2228,5953.81,33841,36688.79
Jorhat,145,39562,26071.58,25775,29198.90,38,2908.84,3312,41283.33,68687,99462.65
Kamrup Metro,181,53140,52472.05,60276,44936.55,39,1728.23,4471,18856.29,117926,117993.12
Karbi Anglong,62,28165,17864.80,13764,29933.15,2,4.84,294,836.10,42225,48638.89
Kokrajhar,60,24281,25903.02,17327,15417.74,20,117.35,2588,6570.15,44216,48008.26
Lakhimpur,91,55220,44129.02,25515,27322.64,75,39.16,2948,10227.36,83758,81718.18
Majuli,16,6696,5415.51,4218,3605.36,3,3.82,320,840.99,11237,9865.68
Morigaon,70,37201,27680.91,17342,21428.03,8,132.77,1428,3090.41,55979,52332.12
Nagaon,156,68077,55826.32,47205,46115.26,46,448.46,5118,16232.93,120446,118622.97
Nalbari,85,25881,25271.59,23752,23591.45,13,58.78,2159,7886.93,51805,56808.75
Sivasagar,106,24173,16937.56,23343,22472.78,13,377.34,2581,15845.35,50110,55633.03
Sonitpur,134,23220,25103.57,34796,31269.04,27,154.44,3040,15635.76,61083,72162.81
South Salmara,16,2306,1267.30,822,1611.69,1,27.33,189,696.43,3318,3602.75
Tamulpur,21,5594,6481.54,5928,9109.85,0,0,343,672.88,11865,16264.27
Tinsukia,151,36825,37868.11,19885,28282.52,32,1833.66,2625,37779.70,59367,105763.99
Udalguri,56,28063,23429.81,16807,15094.68,1,0.20,1594,3887.90,46465,42412.59
West Karbi Anglong,21,10081,5492.19,3961,9227.05,1,0,71,173.52,14114,14892.76
