District,Total Branch,Housing Loan (PS) O/S No.,Housing Loan (PS) O/S Amt,Housing Loan (NPS) O/S No.,Housing Loan (NPS) O/S Amt,Rural Housing Loan O/S No.,Rural Housing Loan O/S Amt,Housing Loan Eligible under PMAY O/S No.,Housing Loan Eligible under PMAY O/S Amt,Current Year Disbursed under PMAY No.,Current Year Disbursed under PMAY Amt,PMAY O/S No.,PMAY O/S Amt
Bajali,34,"1,788","11,261.81","1,039","9,129.61",162,"1,968.44",5,34.78,0,0,5,34.78
Baksa,34,601,"6,571.89",464,"4,243.13",922,"8,471.62",-,-,0,0,-,-
Barpeta,93,"2,626","25,462.80","2,264","21,135.09","1,250","11,060.65",4,55.69,0,0,4,55.69
Biswanath,63,"1,471","12,843.47","1,190","8,463.87","1,259","9,816.63",11,140.53,0,0,11,140.53
Bongaigaon,69,"2,073","22,158.07","2,467","26,778.49",563,"4,802.25",33,290.86,0,0,37,341.10
Cachar,172,"6,357","36,986.84","3,187","32,283.27",927,"10,612.81",32,332.79,0,0,33,342.59
Charaideo,36,484,"4,453.06",373,"3,181.85",259,"1,931.67",0,0,0,0,0,0
Chirang,36,685,"6,888.31",731,"5,003.11","1,197","9,383.57",0,0,0,0,0,0
Darrang,70,"1,860","20,075.23","1,772","11,978.45",634,"6,303.77",7,68.42,0,0,7,68.42
Dhemaji,51,"1,814","19,243.89","1,980","10,167.86","1,504","11,631.52",17,129.26,0,0,17,129.26
Dhubri,90,"2,211","19,865.29","1,877","11,799.27",914,"8,074.39",37,251.06,1,5,37,251.06
Dibrugarh,187,"7,563","48,182.73","5,422","66,249.59","3,110","30,390.33",31,7524.55,0,0,35,"7,543.42"
Dima Hasao,33,367,"3,535.63",195,"1,923.73",125,"1,004.87",1,6.01,0,0,1,6.01
Goalpara,71,"1,268","13,247.73","1,086","5,820.12",466,"6,602.20",4,10.33,0,0,4,10.33
Golaghat,126,"2,534","24,892.56","2,810","22,035.90",917,"15,383.71",4,10.84,0,0,4,10.84
Hailakandi,47,854,"6,947.43",687,"3,907.47",21,"3,055.25",4,27.46,0,0,4,27.46
Hojai,66,933,"8,338.14",836,"8,062.82",126,"2,770.35",10,101.46,0,0,10,101.46
Jorhat,145,"8,160","60,637.92","7,372","62,482.13","1,935","17,905.76",30,524.73,0,0,37,540.82
Kamrup Metro,181,"7,493","45,072.74","5,060","50,203.21","4,376","45,555.09",19,189.94,0,0,19,189.94
Karbi Anglong,62,"2,040","21,136.33",690,"3,970.06","1,221","10,908.22",-,-,0,0,-,-
Kokrajhar,60,"1,361","14,337.39","1,556","16,357.30","1,007","10,655.05",1,4.91,0,0,2,15.18
Lakhimpur,91,"3,687","36,813.59","2,840","25,553.54","1,464","16,751.59",9,91.01,0,0,9,91.01
Majuli,16,547,"5,988.24",301,"2,150.61",394,"3,281.76",-,-,0,0,-,-
Morigaon,70,"1,486","12,718.80",993,"8,304.86",280,"3,372.04",1,8.74,0,0,2,17.94
Nagaon,156,"7,251","45,384.34","4,068","40,354.35","1,687","17,144.99",31,263.56,0,0,31,263.56
Nalbari,85,"2,713","28,955.57","3,072","26,996.95","1,239","13,344.81",7,77.87,0,0,7,77.87
Sivasagar,106,"5,636","26,899.61","2,865","24,575.33","1,175","10,904.38",32,403.49,0,0,32,403.49
Sonitpur,134,"7,189","44,014.93","4,704","55,647.46","1,811","19,830.61",43,299.56,0,0,46,332.45
South Salmara,16,287,"2,646.02",259,417.61,242,"1,414.34",-,-,0,0,-,-
Tamulpur,21,428,"4,322.12",294,889.55,701,"4,840.23",0,0,0,0,0,0
Tinsukia,151,"5,733","31,051.68","3,023","36,049.75",902,"9,673.22",25,186.71,0,0,26,186.71
Udalguri,56,"1,815","18,093.96","1,973","6,791.50","1,098","8,197.73",3,12.98,0,0,3,12.98
West Karbi Anglong,21,536,"5,332.92",81,109.20,616,"5,421.12",0,0,0,0,0,0
