District,Total Branch,Export No.,Export Amt,Education PS No.,Education PS Amt,Housing PS No.,Housing PS Amt,Social Infra No.,Social Infra Amt,Renewable No.,Renewable Amt,Other PS No.,Other PS Amt,Ops Total O/S No.,Ops Total O/S Amt
Bajali,34,0,0,123,326.63,1796,11381.40,1,0.46,205,246.57,2347,984.02,4472,12939.08
Baksa,34,0,0,72,203.58,602,6519.48,0,0,193,251.91,842,630.03,1709,7605.00
Barpeta,93,0,0,478,1490.50,2624,25348.90,0,0,2117,2315.49,13225,4837.63,18444,33992.52
Biswanath,63,0,0,255,756.13,1472,12862.25,0,0,786,1102.31,6810,2852.08,9323,17572.77
Bongaigaon,69,0,0,195,770.52,2102,22360.60,2,72.37,540,692.69,8824,3584.66,11663,27480.84
Cachar,172,0,0,1363,3859.90,3880,37520.04,2,7.99,167,217.20,48593,12338.42,54005,53943.55
Charaideo,36,0,0,101,295.78,485,4456.83,0,0,127,166.75,3367,1224.49,4080,6143.85
Chirang,36,0,0,82,288.92,685,6888.32,4,8.57,732,935.45,4868,1702.34,6371,9823.60
Darrang,70,0,0,434,1485.55,1864,20097.76,2,5.8,442,565.36,7133,2920.20,9875,25074.67
Dhemaji,51,0,0,227,720.13,1814,19226.23,1,3.39,592,959.12,5401,3116.44,8035,24025.31
Dhubri,90,0,0,224,826.34,2199,19606.13,2,0.64,2245,3075.97,13709,5087.89,18379,28596.97
Dibrugarh,187,0,0,1001,3445.86,5059,49266.48,0,0,217,310.7,13886,6704.95,20163,59727.99
Dima Hasao,33,0,0,48,138.35,367,3530.63,0,0,65,82.52,-,-,480,3751.50
Goalpara,71,0,0,181,757.55,1265,13210.54,1,0.06,1566,2117.56,11384,4399.00,14397,20484.71
Golaghat,126,0,0,449,1521.51,2531,25035.91,0,0,387,565.85,14719,4135.13,18086,31258.40
Hailakandi,47,0,0,99,283.03,853,6895.99,0,0,66,66.03,8091,2128.30,9109,9373.35
Hojai,66,0,0,191,692.29,929,8191.14,0,-,1602,1973.55,7119,2037.66,9841,12894.64
Jorhat,145,0,0,950,3596.53,5544,60447.06,4,47.78,785,1200.81,11152,3569.30,18435,68861.48
Kamrup Metro,181,0,0,1718,6619.92,7543,47011.42,0,-,193,348.97,20973,8796.94,30427,62777.25
Karbi Anglong,62,0,0,118,304.30,2041,21142.04,0,0,401,617.09,3766,1423.57,6326,23487.00
Kokrajhar,60,0,0,171,555.97,1355,14284.80,1,1.8,919,1345.08,9227,3518.76,11673,19706.41
Lakhimpur,91,0,0,461,1407.36,3739,37434.99,0,0,1950,2875.84,7473,2998.74,13623,44716.93
Majuli,16,0,0,39,99.16,548,5993.35,0,0,170,238.97,725,931.49,1482,7262.97
Morigaon,70,0,0,183,611.51,1495,12795.78,0,0,464,611.31,6731,1807.13,8873,15825.73
Nagaon,156,0,0,436,1663.29,4589,45662.62,2,2,1561,2159.64,17786,5408.50,24374,54896.05
Nalbari,85,0,0,455,1510.90,2725,29740.00,0,0,336,472.54,9980,3920.16,13496,35643.60
Sivasagar,106,0,0,413,1531.46,2938,26905.81,0,-,281,414.72,8960,3462.05,12592,32314.04
Sonitpur,134,0,0,651,2657.08,4532,44365.54,1,1.71,228,304.36,16015,10763.10,21427,58091.79
South Salmara,16,0,0,29,86.74,289,2696.02,0,-,245,341.85,828,1212.83,1391,4337.44
Tamulpur,21,0,0,117,301.62,428,4322.13,1,0.91,79,107.10,1243,623.25,1868,5355.01
Tinsukia,151,0,0,686,2584.64,3004,30954.54,4,33.66,183,263.37,10389,4046.28,14266,37882.49
Udalguri,56,0,0,397,1237.02,1815,18093.94,0,0,129,159.44,7316,3832.26,9657,23322.66
West Karbi Anglong,21,0,0,18,64.38,536,5332.91,0,0,426,644.00,4,3.11,984,6044.40
