district,Total Branch,CY SANCTION A/C No.,CY SANCTION Amt.,CY DISBURSED A/C No.,CY DISBURSED Amt.,PMEGP O/S No.,PMEGP O/S Amt.,PMEGP NPA No.,PMEGP NPA Amt.,PMEGP NPA Amt. %
Bajali,34,23,104.36,25,86.61,284,968.30,87,151.38,15.63
Baksa,34,2,8.00,6,15.26,531,866.11,324,417.40,48.19
Barpeta,93,23,124.18,28,109.57,"1,295","3,067.21",560,830.92,27.09
Biswanath,63,8,22.32,8,20.60,286,792.00,103,135.90,17.16
Bongaigaon,69,13,67.38,24,70.47,623,"1,660.13",255,360.76,21.73
Cachar,172,51,381.52,55,327.10,"1,104","3,376.95",430,763.45,22.61
Charaideo,36,2,8.55,3,8.74,164,402.14,90,171.50,42.65
Chirang,36,5,17.18,12,30.67,994,"1,254.39",752,733.07,58.44
Darrang,70,6,45.73,6,34.98,559,"1,139.59",271,408.49,35.85
Dhemaji,51,58,200.78,57,101.32,919,"2,384.23",372,654.83,27.47
Dhubri,90,20,87.48,21,85.37,"1,407","2,420.71",670,719.35,29.72
Dibrugarh,187,21,122.16,35,135.47,"1,321","3,942.63",580,"1,115.95",28.30
Dima Hasao,33,5,24.43,5,23.33,227,522.07,70,125.85,24.11
Goalpara,71,12,35.59,13,31.99,616,"1,031.08",400,480.15,46.57
Golaghat,126,6,22.52,8,20.65,634,"1,435.11",386,552.91,38.53
Hailakandi,47,18,70.23,22,70.18,656,"1,826.37",248,401.30,21.97
Hojai,66,11,53.11,12,49.61,368,"1,056.00",118,241.64,22.88
Jorhat,145,12,41.59,13,27.63,493,"1,318.09",210,293.31,22.25
Kamrup Metro,181,23,71.89,33,120.68,"1,355","2,980.96",618,785.47,26.35
Karbi Anglong,62,16,55.76,17,30.11,383,643.67,171,163.92,25.47
Kokrajhar,60,10,32.68,16,36.32,"1,571","2,267.28","1,116","1,224.18",53.99
Lakhimpur,91,25,94.07,28,98.37,"1,141","3,403.49",517,856.46,25.16
Majuli,16,1,2.94,1,2.00,172,399.86,43,86.29,21.58
Morigaon,70,7,24.13,8,27.90,680,"1,367.24",451,657.45,48.09
Nagaon,156,44,213.08,52,185.42,"1,311","4,638.74",593,"1,041.84",22.46
Nalbari,85,10,25.69,21,52.35,802,"2,160.93",386,685.15,31.71
Sivasagar,106,38,238.40,39,142.78,706,"2,424.35",252,487.04,20.09
Sonitpur,134,32,202.02,41,216.65,"1,163","2,997.83",407,621.58,20.73
South Salmara,16,2,7.79,3,13.41,322,410.68,263,265.24,64.59
Tamulpur,21,3,5.15,3,5.15,205,364.50,109,154.19,42.30
Tinsukia,151,47,203.25,49,196.52,"1,364","3,999.13",522,975.89,24.40
Udalguri,56,6,15.36,6,14.78,"1,180","2,003.95","1,082","1,694.26",84.55
West Karbi Anglong,21,1,3.36,1,3.36,26,97.62,4,7.26,7.44
