District,Total Branch,Total Deposit,Total Advances,Overall CD Ratio
Bajali,34,178869,124172,69
Baksa,34,93064,83609,90
Barpeta,94,451576,395646,88
Biswanath,63,241893,175430,73
Bongaigaon,69,431546,323621,75
Cachar,175,1279941,606023,47
Charaideo,36,148959,90428,61
Chirang,36,177227,103717,59
Darrang,70,313994,262435,84
Dhemaji,52,215422,215537,100
Dhubri,91,414738,276550,67
Dibrugarh,189,1393079,887716,64
Dima Hasao,34,147544,70971,48
Goalpara,71,310599,218907,70
Golaghat,127,491646,462571,94
Hailakandi,47,231018,103667,45
Hojai,67,388608,199020,51
Jorhat,146,934285,677362,73
Kamrup Metro,183,860089,640911,75
Karbi Anglong,63,226412,212859,94
Kokrajhar,61,416091,251185,60
Lakhimpur,92,392814,407602,104
Majuli,17,50380,48334,96
Morigaon,70,233345,180890,78
Nagaon,156,756873,666534,88
Nalbari,87,416838,309335,74
Sivasagar,107,598759,430156,72
Sonitpur,135,741835,570916,77
South Salmara,17,36723,27633,75
Tamulpur,21,72219,54348,75
Tinsukia,152,963549,601690,62
Udalguri,56,222541,178614,80
West Karbi Anglong,21,39027,42394,109
