District,Total No. of Camps (FY),No. of rural branches in district,No. of Camps Conducted
Bajali,0,19,0
Baksa,20,33,20
Barpeta,0,46,0
Biswanath,32,36,32
Bongaigaon,0,28,0
Cachar,0,97,0
Charaideo,84,24,84
Chirang,60,22,60
Darrang,24,39,24
Dhemaji,0,25,0
Dhubri,18,42,18
Dibrugarh,94,93,94
Dima Hasao,12,12,12
Goalpara,0,42,0
Golaghat,202,74,202
Hailakandi,151,19,151
Hojai,9,22,9
Jorhat,250,57,250
Kamrup Metro,22,138,22
Karbi Anglong,10,36,10
Kokrajhar,82,35,82
Lakhimpur,30,53,30
Majuli,14,16,14
Morigaon,16,39,16
Nagaon,92,93,92
Nalbari,20,58,20
Sivasagar,420,59,420
Sonitpur,42,59,42
South Salmara,18,10,18
Tamulpur,0,21,0
Tinsukia,31,60,31
Udalguri,84,35,84
West Karbi Anglong,2,21,2
