district,Total Branch,Crop Loan A/C,Crop Loan Amt,Forestry and wasteland Dev. A/C Nos,Forestry and wasteland Dev. Amt,Water Resourc e A/C Nos,Water Resourc e Amount,Farm mechanizati on A/C Nos,Farm mechanizatio n Amount,Plantation & horticulture A/C Nos,Plantation & ho r tic u lt u re A m o u n t,Animal Husbandr y A/C Nos,Animal Husbandry Amount,Fishery A/C Nos,Fishery Amount,Farm Credit Others A/C Nos,Farm Credit Others Amount,Agri. Infrastru cture Ac,Agri. Infrastructur e Amt,Ancillary Activities Ac,Ancillary Activities Amt,Tot Agri (PS) Disb No.,Tot Agri (PS) Disb Amt
Bajali,34,511,816.25,1,2.12,0,0,212,399.98,0,0,93,256.24,3,15.3,685,"1,020.54",0,0,36,123.89,"1,541","2,634.32"
Baksa,34,437,722.88,-,-,0,0,39,145.56,0,0,107,432.28,1,1.5,443,895.61,0,0,115,304.76,"1,142","2,502.59"
Barpeta,93,"1,831","3,132.85",16,42.95,99,113.55,193,887.11,9,40.56,149,546.51,14,13.45,"2,568","4,711.37",0,0,685,"5,821.19","5,564","15,309.54"
Biswanath,63,810,"1,339.92",-,-,0,0,24,109.15,0,0,138,587.90,1,1.6,"1,671","2,162.86",3,795.08,236,"1,848.37","2,883","6,844.88"
Bongaigaon,69,"1,135","2,943.16",1,2.75,15,14.72,111,375.64,8,3.11,59,191.51,1,1.46,"1,966","2,545.44",0,0,368,"1,303.19","3,664","7,380.98"
Cachar,172,"1,007","1,632.17",22,57.4,0,0,181,812.88,10,15.6,123,273.69,38,38.98,"3,822","3,880.92",1,33.6,"1,112","4,327.10","6,316","11,072.34"
Charaideo,36,537,574.74,0,0,0,0,4,9.08,0,0,49,157.93,3,5.7,870,752.45,0,0,231,994.45,"1,694","2,494.35"
Chirang,36,532,"1,275.13",-,-,0,0,-,-,0,0,24,55.77,4,6.96,"1,052","1,525.90",1,1.86,173,268.31,"1,786","3,133.93"
Darrang,70,"1,362","2,368.15",6,17.2,0,0,216,859.04,1,0.24,248,514.59,45,16.07,"2,704","3,230.10",5,140.84,630,"4,608.72","5,217","11,754.95"
Dhemaji,51,988,"1,458.50",-,-,0,0,81,342.12,0,0,110,426.01,1,3.96,"1,300","1,644.91",1,1.5,461,"1,146.66","2,942","5,023.66"
