District,Total Branch,Sanctioned No.,of which girl student Sanctioned No.,Sanctioned Amt,of which girl student Sanctioned Amt,Disb. Number,of which girl student Disb No.,Disb. Amt,of which girl student Disb Amt,O/S No.,of which girl student O/S No.,O/S amt,of which girl student O/S Amt
Bajali,34,11,6,56.99,15.25,26,16,49.74,11.46,124,52,380.30,146.78
Baksa,34,6,3,8.06,4.94,20,10,16.28,9.67,78,38,302.80,148.00
Barpeta,93,27,18,91.90,72.40,70,33,70.13,42.00,501,244,1921.35,904.42
Biswanath,63,11,15,38.52,58.67,37,19,41.42,20.27,266,154,1005.93,560.40
Bongaigaon,69,16,4,103.19,38.56,39,16,42.05,14.68,205,85,1141.26,484.00
Cachar,172,42,15,248.83,59.92,133,43,172.88,59.88,1386,319,4347.21,1108.75
Charaideo,36,7,6,51.61,54.60,22,9,18.58,8.72,102,47,334.79,169.95
Chirang,36,10,3,12.49,9.68,22,4,24.29,4.88,83,23,295.33,51.13
Darrang,70,24,13,77.96,25.65,55,27,72.27,43.90,445,221,1645.97,823.64
Dhemaji,51,12,5,26.38,13.27,44,24,42.86,25.09,227,110,741.58,385.27
Dhubri,90,9,3,44.69,5.26,42,21,54.04,25.84,229,75,935.19,292.39
Dibrugarh,187,37,16,299.91,146.16,131,62,211.89,94.80,1034,521,4493.69,2159.97
Dima Hasao,33,5,3,37.23,3.90,9,6,13.73,5.56,51,26,218.70,95.27
Goalpara,71,17,11,52.08,20.63,33,17,38.83,17.02,188,88,840.92,325.31
Golaghat,126,15,9,80.00,45.83,81,40,70.28,35.70,457,216,1852.31,778.82
Hailakandi,47,5,1,6.68,0.50,17,3,11.69,1.95,99,32,289.14,105.40
Hojai,66,13,8,27.87,17.54,51,23,68.47,31.62,195,81,785.13,288.45
Jorhat,145,26,15,155.87,97.34,129,66,137.91,69.53,994,478,4642.95,2353.90
Kamrup Metro,181,44,28,144.83,89.35,239,119,254.05,127.00,1737,684,7037.93,2785.34
Karbi Anglong,62,7,5,68.75,59.13,20,12,24.74,12.35,120,53,374.48,187.85
Kokrajhar,60,10,-,32.73,-,28,9,25.38,9.97,178,67,736.40,256.59
Lakhimpur,91,23,10,90.45,58.77,68,36,77.79,33.53,475,231,1621.58,724.13
Majuli,16,2,1,6.35,5.05,6,2,2.05,1.20,39,10,99.16,20.06
Morigaon,70,12,9,29.69,25.44,41,20,38.96,20.03,183,82,678.48,269.65
Nagaon,156,22,9,125.04,31.71,84,44,157.42,88.33,469,192,2304.08,1118.40
Nalbari,85,21,13,136.63,66.70,72,47,83.97,45.81,473,213,1702.51,760.85
Sivasagar,106,26,11,93.86,27.95,88,43,132.04,37.34,433,217,1936.51,864.03
Sonitpur,134,28,18,243.82,119.75,95,50,160.63,66.17,680,318,3425.29,1531.52
South Salmara,16,5,2,7.46,1.09,7,3,4.09,1.94,29,7,86.74,16.09
Tamulpur,21,13,7,17.99,11.6,30,17,24.98,13.47,118,72,318.50,210.85
Tinsukia,151,28,11,121.84,37.68,90,40,146.46,59.14,702,280,2946.84,1209.80
Udalguri,56,17,10,73.93,17.51,44,24,34.53,21.67,406,269,1413.47,875.78
West Karbi Anglong,21,3,1,13.67,1.69,6,2,15.24,2.63,20,6,76.36,20.90
