district,Total Branch,O/S No.,O/S Amt.,CY Disb No.,CY Disb Amt.
Bajali,34,"18,704","23,469.83","1,863","2,699.38"
Baksa,34,"10,125","16,704.10",944,"1,690.26"
Barpeta,93,"65,546","76,055.88","8,743","9,673.80"
Biswanath,63,"33,921","38,919.31","3,555","6,022.72"
Bongaigaon,69,"43,380","63,607.51","5,453","7,697.43"
Cachar,172,"136,085","122,784.86","16,348","19,106.10"
Charaideo,36,"17,899","24,147.65","1,892","2,160.18"
Chirang,36,"19,342","20,352.68","2,156","2,380.89"
Darrang,70,"51,622","54,200.99","5,390","7,734.86"
Dhemaji,51,"33,103","53,579.13","3,145","6,020.12"
Dhubri,90,"52,975","46,775.09","6,178","6,966.76"
Dibrugarh,187,"99,212","162,130.77","13,888","19,250.27"
Dima Hasao,33,"6,888","21,095.12",546,"2,025.99"
Goalpara,71,"39,104","42,253.36","4,058","5,424.80"
Golaghat,126,"74,725","85,153.33","7,707","9,759.03"
Hailakandi,47,"22,725","23,472.72","2,702","3,153.91"
Hojai,66,"34,907","35,273.78","4,093","4,649.58"
Jorhat,145,"78,875","131,795.08","9,121","15,344.33"
Kamrup,181,"123,043","146,670.28","15,181","19,640.70"
Kamrup Metro,473,"205,331","654,316.32","26,423","63,940.24"
Karbi Anglong,62,"33,395","65,094.17","2,440","4,736.52"
Kokrajhar,60,"39,291","49,304.74","5,425","7,236.57"
Lakhimpur,91,"67,450","95,958.29","7,225","12,044.94"
Majuli,16,"6,388","9,705.48",743,928.73
Morigaon,70,"39,472","42,855.48","3,837","4,900.01"
Nagaon,156,"118,195","152,642.46","14,749","18,736.73"
Nalbari,85,"50,484","67,679.15","5,061","8,938.24"
Sivasagar,106,"60,866","100,887.58","6,659","10,887.85"
Sonitpur,134,"75,834","113,523.05","8,789","13,431.66"
South Salmara,16,"1,285","2,672.71",143,332.89
Sribhumi,95,"53,331","42,045.93","6,335","6,340.75"
Tamulpur,21,"9,573","13,785.26",752,"3,174.05"
Tinsukia,151,"61,350","101,754.48","7,116","11,453.45"
Udalguri,56,"27,439","37,586.32","2,738","3,732.09"
West Karbi Anglong,21,"6,806","12,792.83",344,842.00
