District,Total Branch,KCCs for AH and Allied Activities No.,KCCs for AH and Allied Activities Amt,Farm Production A/C,Farm Production amt,Dairy no,Dairy Amt,Farm Mechanisation No.,Farm Mechanisation Amt,Poultry No.,Poultry Amt,fisheries no,fisheries Amt,Godown No.,Godown Amt,Clinic No.,Clinic Amt,Other No.,Other Amt,Total IC-Agri O/S No.,Total IC-Agri O/S Amt
Bajali,34,244,291.75,-,-,251,266.51,3097,2172.62,314,198.59,295,204.22,0,0,0,0,802,1382.90,5003,4516.59
Baksa,34,135,129.15,3,1.85,127,223.76,569,831.29,465,168.13,142,62.41,0,0,0,0,1212,3704.68,2653,5121.27
Barpeta,93,1118,700.84,-,-,869,1091.98,2475,4958.38,767,456.77,1215,517.16,1,6.11,0,0,2588,7356.81,9033,15088.05
Biswanath,63,598,319.74,1,0.67,31,45.78,126,262.89,1514,515.14,278,113.07,0,0,0,0,1881,6913.15,4429,8170.44
Bongaigaon,69,250,103.27,1,1.23,775,623.87,994,2162.82,486,583.24,134,58.76,2,88.74,1,11.15,2769,4015.24,5412,7648.32
Cachar,172,1332,688.43,4,2.20,778,1143.50,1126,2156.23,2003,1605.36,5850,3232.34,8,59.56,1,1.43,4765,9872.29,15867,18761.34
Charaideo,36,206,205.15,-,-,34,58.87,14,17.08,1020,487.10,11,12.62,1,0.65,1,1.19,485,1140.30,1772,1922.96
Chirang,36,195,95.56,-,-,104,70.22,3,11.21,281,250.34,329,91.90,0,0,0,0,1170,3596.86,2082,4116.09
Darrang,70,552,425.85,5,2.90,623,791.77,2556,4086.74,1868,841.16,636,630.30,4,355.98,2,16.57,1771,8629.83,8017,15781.10
Dhemaji,51,654,518.28,1,0.28,41,116.60,1035,2235.65,947,440.22,126,56.07,0,0,0,0,2188,7285.09,4992,10652.19
Dhubri,90,432,301.79,4,2.16,405,248.99,727,1059.88,1282,345.86,420,158.98,0,0,6,6.27,3302,6656.26,6578,8780.19
Dibrugarh,187,4547,2989.24,1,4.04,323,424.06,1368,2385.88,6151,2155.91,365,207.62,1,1.63,11,31.6,4754,32840.21,17521,41040.19
Dima Hasao,33,36,40.84,0,0,21,22.80,4,4.39,3,7.07,2,1.26,0,0,0,0,93,366.83,159,443.19
Goalpara,71,541,234.29,12,7.17,230,184.94,576,1166.20,877,383.87,702,203.32,6,0.95,0,0,2571,7938.20,5515,10118.94
Golaghat,126,291,246.48,1,0.29,225,230.79,1711,2867.17,4285,1701.52,471,238.98,0,0,0,0,4559,13934.23,11543,19219.46
Hailakandi,47,557,316.91,0,0,293,370.50,18,21.60,293,236.72,374,154.96,0,0,0,0,884,1790.10,2419,2890.79
Hojai,66,137,91.81,0,0,488,609.75,480,1150.03,502,217.41,251,179.77,0,0,1,2.6,1761,4166.79,3620,6418.16
Jorhat,145,2235,1071.22,7,11.26,447,606.09,346,899.70,4781,1689.16,643,316.71,3,354.24,4,725.7,3468,14584.22,11934,20258.30
Kamrup Metro,181,2767,1674.74,0,0,4479,1641.50,1450,1945.00,2404,1600.26,1357,658.02,0,0,3,0.99,15558,27035.82,28018,34556.33
Karbi Anglong,62,124,105.92,0,0,203,151.65,431,443.56,137,116.80,61,59.57,0,0,0,0,456,2488.73,1412,3366.23
Kokrajhar,60,192,186.38,0,0,166,196.56,134,255.11,325,258.66,179,183.13,0,0,0,0,1858,4968.37,2854,6048.21
Lakhimpur,91,483,434.48,3,1.22,329,616.54,1484,3187.59,4466,1412.20,882,455.51,0,0,1,0.05,3515,10523.61,11163,16631.20
Majuli,16,44,17.80,0,0,7,28.85,21,26.34,9,39.47,9,10.11,0,0,0,0,93,189.05,183,311.62
Morigaon,70,688,751.26,0,0,837,1324.45,1015,2268.23,1979,585.25,1733,1067.98,1,9.33,0,0,3253,8774.70,9506,14781.20
Nagaon,156,3895,1483.81,0,0,1343,1883.09,3110,6670.59,2940,1284.78,5149,2376.42,0,0,1,4.96,5667,8681.94,22105,22385.59
Nalbari,85,1543,719.30,7,5.91,414,633.83,1651,1674.13,1167,672.67,2071,688.83,1,1.49,2,7.85,3247,8642.12,10103,13046.13
Sivasagar,106,828,525.74,0,0,478,504.25,770,1435.17,5568,2718.98,574,280.21,0,0,1,6.03,3133,11711.85,11352,17182.23
Sonitpur,134,1304,951.57,2,1.3,237,353.22,2542,4477.21,1580,1037.81,666,302.51,0,0,4,19.99,2779,9126.67,9114,16270.28
South Salmara,16,-,-,0,0,-,-,1,0.90,1,5.76,-,-,0,0,0,0,19,28.47,21,35.13
Tamulpur,21,225,134.82,0,0,16,38.47,405,819.98,171,85.19,88,55.6,0,0,0,0,405,751.61,1310,1885.67
Tinsukia,151,4315,2718.15,36,51.39,490,933.79,896,1751.19,2146,1147.26,206,116.68,0,0,6,72.77,2533,21740.58,10628,28531.81
Udalguri,56,1342,563.98,1,0.47,79,142.99,1844,763.17,320,560.74,103,123.91,1,0.2,2,2.28,1032,1979.36,4724,4137.10
West Karbi Anglong,21,3,3.30,0,0,37,64.46,0,0,2,7.96,-,-,0,0,0,0,12,29.15,54,104.87
