District,Total Branch,Rural No.,Urban No.,Male No.,Female No.,Total PMJDY No.,No of Zero Balance A/C,Amt Deposits held in the A/C,No of Rupay Card Issued,No of Rupay Card Activated,No of Aadhaar Seeded
Bajali,34,"167,374",32454,"83,123","116,643","199,766","29,979","7,140","62,196","42,156","115,978"
Baksa,34,"259,593","49,271","117,937","190,871","308,808","31,823","7,979","91,303","67,300","169,785"
Barpeta,93,"1,134,703","329,229","668,864","880,020","1,548,884","207,356","33,598","531,807","380,071","824,549"
Biswanath,63,"417,292","101,403","205,355","313,690","519,045","69,586","18,779","185,130","129,997","269,507"
Bongaigaon,69,"303,475","153,614","220,065","310,415","530,480","67,644","16,054","238,455","156,969","289,515"
Cachar,172,"857,655","280,780","470,157","668,121","1,138,278","131,238","38,558","664,840","377,139","606,526"
Charaideo,36,"306,065","36,000","132,798","209,233","342,031","47,581","9,268","165,781","89,224","160,898"
Chirang,36,"301,995","76,653","148,578","229,944","378,522","24,055","11,200","135,625","105,129","194,232"
Darrang,70,"796,558","198,027","422,599","576,258","998,857","134,099","20,755","384,666","243,267","504,124"
Dhemaji,51,"549,317","258,240","336,392","470,921","807,313","117,387","15,891","321,939","207,616","365,985"
Dhubri,90,"1,553,256","342,450","819,917","1,078,355","1,898,272","337,037","31,459","759,047","448,433","1,006,663"
Dibrugarh,187,"506,741","202,227","285,944","429,421","715,365","104,903","28,148","403,515","239,733","334,211"
Dima Hasao,33,"53,492","9,777","30,790","37,425","68,215","7,143","3,780","27,628","19,581","32,966"
Goalpara,71,"651,123","219,099","370,367","507,241","877,608","102,146","17,291","325,819","223,440","497,804"
Golaghat,126,"567,924","207,977","317,838","477,104","794,942","115,251","24,564","430,835","237,881","419,460"
Hailakandi,47,"424,811","149,709","239,947","344,838","584,785","76,898","16,094","267,053","159,367","309,295"
Hojai,66,"441,487","288,614","305,153","426,293","731,446","83,828","19,247","472,614","279,989","439,121"
Jorhat,145,"332,087","211,249","209,525","333,836","543,361","94,124","16,557","315,372","165,915","282,590"
Kamrup Metro,181,"866,412","175,204","440,955","599,746","1,040,701","145,587","31,666","528,882","336,530","563,093"
Karbi Anglong,62,"232,547","43,677","122,191","183,496","305,687","35,750","9,557","74,704","57,141","140,047"
Kokrajhar,60,"597,066","144,953","333,357","449,712","783,069","97,332","21,245","219,625","176,082","418,943"
Lakhimpur,91,"631,922","185,860","351,848","500,430","852,278","110,803","21,988","400,922","250,109","432,648"
Majuli,16,"113,432","41,989","65,350","90,052","155,402","25,955","2,799","85,063","47,296","80,811"
Morigaon,70,"810,732","102,806","372,732","548,195","920,927","152,714","15,600","599,057","284,028","486,507"
Nagaon,156,"1,416,434","641,913","885,961","1,174,067","2,060,028","333,918","40,355","902,658","524,708","1,121,487"
Nalbari,85,"424,339","80,694","218,557","317,816","536,373","69,245","16,418","160,785","110,422","305,815"
Sivasagar,106,"257,406","99,851","152,764","225,501","378,265","50,345","13,467","237,011","139,674","195,218"
Sonitpur,134,"612,190","198,863","368,360","545,932","914,292","141,972","28,915","346,662","236,185","475,397"
South Salmara,16,"236,621","48,492","116,942","168,096","285,038","42,088","3,831","61,135","44,201","148,358"
Tamulpur,21,"223,348","58,401","112,307","169,379","281,686","24,156","8,679","99,649","78,980","146,099"
Tinsukia,151,"457,676","328,152","301,857","485,082","786,939","113,075","28,412","439,614","220,168","351,201"
Udalguri,56,"628,087","137,070","314,497","450,476","764,973","101,925","19,524","188,545","147,005","359,190"
West Karbi Anglong,21,"117,658",19578,"57,711","79,505","137,216","17,707","4,268","34,679","29,235","66,349"
