district,Total Branch,Crop No,Crop Amt,Term Loan No,Term Loan Amt,Agri Infra No,Agri Infra Amt,Ancillary No,Ancillary Amt,Tot Agri (PS) NPA No.,Tot Agri (PS) NPA Amt.
Bajali,34,"2,886","1,914.97","2,796",891.49,14,20.18,208,114.22,"5,904","2,940.86"
Baksa,34,"2,730","1,563.41","1,484",726.23,2,1.35,10,8.67,"4,226","2,299.66"
Barpeta,93,"18,679","12,443.33","3,578","2,306.78",69,49.76,372,325.19,"22,698","15,125.06"
Biswanath,63,"10,372","6,265.36","2,623",823.39,22,22.25,398,131.88,"13,415","7,242.88"
Bongaigaon,69,"4,842","2,813.82","1,059","1,160.62",10,18.53,196,118.77,"6,107","4,111.74"
Cachar,172,"23,858","12,382.92","4,398","2,104.09",15,84.21,432,548.81,"28,703","15,120.03"
Charaideo,36,"1,533","1,002.53",793,401.24,4,5.52,49,52.92,"2,379","1,462.21"
Chirang,36,"5,848","3,203.55",741,445.49,35,99.33,37,34.19,"6,661","3,782.56"
Darrang,70,"10,455","6,696.08","5,637","2,499.99",105,133.16,271,413.26,"16,468","9,742.49"
Dhemaji,51,"10,631","7,544.93","1,781",857.29,5,0.22,151,118.52,"12,568","8,520.96"
Dhubri,90,"17,379","8,989.08","5,089","1,760.28",69,92.61,384,292.56,"22,921","11,134.53"
Dibrugarh,187,"23,819","14,734.81","5,402","3,045.61",126,83.03,361,320.69,"29,708","18,184.14"
Dima Hasao,33,382,88.76,169,81.05,23,11.96,38,65.43,612,247.20
Goalpara,71,"8,117","4,062.02","2,711","1,709.60",44,64.55,149,96.53,"11,021","5,932.70"
Golaghat,126,"23,733","11,482.93","3,600","2,023.75",6,9.01,369,350.97,"27,708","13,866.66"
Hailakandi,47,"8,629","3,726.75","1,459",897.18,7,9.45,263,243.48,"10,358","4,876.86"
Hojai,66,"8,069","4,272.39","1,302",645.62,4,19.12,380,195.91,"9,755","5,133.04"
Jorhat,145,"18,541","8,439.61","3,645","1,638.03",30,22.8,297,"1,224.52","22,513","11,324.96"
Kamrup Metro,181,"26,988","15,998.79","7,279","2,548.36",27,21.85,612,442.41,"34,906","19,011.41"
Karbi Anglong,62,"7,929","3,842.33","1,357",947.79,47,77.9,51,118.57,"9,384","4,986.59"
Kokrajhar,60,"10,670","6,172.25","1,233",743.33,10,14.61,104,159.83,"12,017","7,090.02"
Lakhimpur,91,"24,972","15,297.72","7,140","2,123.21",105,45.84,318,279.21,"32,535","17,745.98"
Majuli,16,"1,620",763.83,738,708.30,3,0.13,72,95.77,"2,433","1,568.03"
Morigaon,70,"14,360","7,632.30","5,284","2,665.68",31,50.02,316,218.81,"19,991","10,566.81"
Nagaon,156,"35,113","17,712.90","10,457","3,367.64",42,90.08,958,"1,294.29","46,570","22,464.91"
Nalbari,85,"12,278","6,164.19","4,720","1,983.96",126,124.59,262,288.04,"17,386","8,560.78"
Sivasagar,106,"8,260","3,815.54","3,993","1,704.35",69,96.72,183,171.24,"12,505","5,787.85"
Sonitpur,134,"9,738","6,104.51","7,214","2,950.42",44,84.34,462,380.90,"17,458","9,520.17"
South Salmara,16,"1,460",438.57,238,230.22,5,7.06,3,9.98,"1,706",685.83
Tamulpur,21,"2,745","1,576.55",835,427.54,9,15.68,24,10.96,"3,613","2,030.73"
Tinsukia,151,"15,028","10,660.46","3,236","1,856.41",33,119.77,320,"2,158.63","18,617","14,795.27"
Udalguri,56,"18,255","12,094.46","7,108","3,242.82",96,158.65,148,72.18,"25,607","15,568.11"
West Karbi Anglong,21,"2,607","1,012.50",693,288.16,1,0,10,22.82,"3,311","1,323.48"
