District,Total Branch,Export No.,Export Amt,Education PS No.,Education PS Amt,Housing PS No.,Housing PS Amt,Social Infra No.,Social Infra Amt,Renewable No.,Renewable Amt,Other PS No.,Other PS Amt,Tot Other (PS) NPA No.,Tot Other (PS) NPA Amt
Bajali,34,0,0.00,10,43.70,40,114.03,1,0.46,5,2.40,104,44.20,160,204.79
Baksa,34,0,0.00,8,16.86,32,63.83,0,0.00,8,2.65,114,41.85,162,125.19
Barpeta,93,0,0.00,42,111.96,46,171.67,0,0.00,213,99.69,828,99.64,1129,482.96
Biswanath,63,0,0.00,15,24.37,39,101.54,0,0.00,0,0.00,1845,505.74,1899,631.65
Bongaigaon,69,0,0.00,9,19.76,22,133.34,0,0.00,58,30.86,116,85.38,205,269.34
Cachar,172,0,0.00,53,117.27,69,530.28,1,1.18,4,1.44,1420,334.37,1547,984.54
Charaideo,36,0,0.00,9,21.07,5,27.57,0,0.00,14,6.54,126,81.26,154,136.44
Chirang,36,0,0.00,9,20.45,2,10.74,1,0.07,50,14.48,935,83.05,997,128.79
Darrang,70,0,0.00,27,84.40,58,176.43,0,0.00,17,8.23,787,282.33,889,551.39
Dhemaji,51,0,0.00,14,32.64,20,104.38,0,0.00,7,2.12,325,122.50,366,261.64
Dhubri,90,0,0.00,15,47.44,42,135.24,1,0.26,130,82.86,932,247.40,1120,513.20
Dibrugarh,187,0,0.00,62,192.65,82,554.21,0,0.00,8,2.77,830,399.78,982,1149.41
Dima Hasao,33,0,0.00,5,15.90,8,12.73,0,0.00,0,0.00,-,-,13,28.63
Goalpara,71,0,0.00,8,42.31,34,130.48,1,0.06,242,170.06,1062,230.46,1347,573.37
Golaghat,126,0,0.00,21,53.46,29,200.01,0,0.00,0,0.00,223,63.96,273,317.43
Hailakandi,47,0,0.00,15,34.77,38,246.88,0,0.00,14,9.59,116,37.35,183,328.59
Hojai,66,0,0.00,11,62.63,11,67.45,0,0.00,0,0.00,435,98.95,457,229.03
Jorhat,145,0,0.00,43,134.77,91,686.00,2,47.12,0,0.00,344,124.08,480,991.97
Kamrup Metro,181,0,0.00,47,150.84,117,425.34,0,0.00,7,3.58,671,144.34,842,724.10
Karbi Anglong,62,0,0.00,12,19.78,32,143.38,0,0.00,0,0.00,484,113.70,528,276.86
Kokrajhar,60,0,0.00,7,14.07,14,74.26,1,1.80,9,7.26,1088,113.63,1119,211.02
Lakhimpur,91,0,0.00,24,41.68,82,228.33,0,0.00,52,28.73,1180,538.31,1338,837.05
Majuli,16,0,0.00,5,10.32,1,0.80,0,0.00,0,0.00,341,8.97,347,20.09
Morigaon,70,0,0.00,12,33.38,47,203.40,0,0.00,11,4.60,504,43.05,574,284.43
Nagaon,156,0,0.00,30,70.42,116,670.98,1,0.51,5,8.02,326,114.23,478,864.16
Nalbari,85,0,0.00,42,120.67,80,242.67,0,0.00,2,0.47,519,190.88,643,554.69
Sivasagar,106,0,0.00,24,58.00,65,388.84,0,0.00,2,1.24,736,195.01,827,643.09
Sonitpur,134,0,0.00,59,146.91,106,546.20,0,0.00,1,1.84,1500,1117.40,1666,1812.35
South Salmara,16,0,0.00,5,23.70,13,42.33,0,0.00,6,4.34,187,243.72,211,314.09
Tamulpur,21,0,0.00,5,16.49,17,77.76,0,0.00,5,1.00,129,26.50,156,121.75
Tinsukia,151,0,0.00,35,78.47,44,323.25,1,0.00,7,1.90,553,119.48,640,523.10
Udalguri,56,0,0.00,16,57.18,24,105.33,0,0.00,0,0.00,2780,1210.37,2820,1372.88
West Karbi Anglong,21,0,0.00,2,5.88,11,32.44,0,0.00,5,0.39,1,3.03,19,41.74
