District,Total Branch,Micro No.,Micro Amt,Small No.,Small Amt,Medium No.,Medium Amt,Other Msme No.,Other Msme Amt,Msme Total O/S No.,Msme Total O/S Amt
Bajali,34,3856,13599.28,70,4169.73,15,186.76,114,360.57,4055,18316.34
Baksa,34,5031,11531.17,102,2743.19,5,166.78,105,28.73,5243,14469.87
Barpeta,93,15256,60185.74,448,21387.33,39,3431.68,195,77.18,15938,85081.93
Biswanath,63,8498,27451.36,81,3881.67,9,294.08,570,336.14,9158,31963.25
Bongaigaon,69,12070,44757.48,351,21596.17,34,3339.59,293,155.29,12748,69848.53
Cachar,172,26629,98167.27,1015,44203.26,114,16033.18,556,296.49,28314,158700.20
Charaideo,36,5429,16511.13,107,1560.23,7,36.04,77,87.98,5620,18195.38
Chirang,36,6134,15424.80,55,3001.74,6,1308.80,39,7.76,6234,19743.10
Darrang,70,11390,41218.44,323,14259.86,14,60.86,304,104.28,12031,55643.44
Dhemaji,51,10210,29522.48,176,5976.10,14,140.27,1309,691.05,11709,36329.90
Dhubri,90,13866,39794.18,281,13467.10,22,2085.14,137,150.98,14306,55497.40
Dibrugarh,187,25383,128706.67,1202,59613.46,225,14887.44,942,861.56,27752,204069.13
Dima Hasao,33,4434,8161.88,26,687.55,9,96.39,6,4.64,4475,8950.46
Goalpara,71,11302,35356.36,258,8777.54,23,463.76,242,113.77,11825,44711.43
Golaghat,126,16087,52838.77,443,14980.29,20,1679.93,530,311.43,17080,69810.42
Hailakandi,47,6996,16776.51,120,2751.05,6,634.64,129,101.72,7251,20263.92
Hojai,66,10545,41681.90,381,9745.46,12,1136.34,125,94.58,11063,52658.28
Jorhat,145,17847,96265.54,782,51145.05,109,15511.94,739,559.09,19477,163481.62
Kamrup Metro,181,21283,84939.37,749,29661.99,119,8380.28,750,499.66,22901,123481.30
Karbi Anglong,62,10247,22659.58,98,3936.64,3,4.35,89,29.51,10437,26630.08
Kokrajhar,60,9433,27995.81,144,7370.64,6,1332.94,494,503.90,10077,37203.29
Lakhimpur,91,17089,51151.84,750,16782.50,97,7359.44,2640,1137.63,20576,76431.41
Majuli,16,1954,5125.24,111,473.49,7,19.16,282,98.19,2354,5716.08
Morigaon,70,10982,28241.42,519,3521.66,21,246.32,541,372.57,12063,32381.97
Nagaon,156,30064,109118.15,1035,41849.95,143,11321.66,444,999.41,31686,163289.17
Nalbari,85,13016,44309.86,272,13011.56,29,1159.90,214,152.64,13531,58633.96
Sivasagar,106,15349,65234.20,521,26558.04,37,7215.28,575,333.39,16482,99340.91
Sonitpur,134,19906,90773.64,694,39710.94,83,8101.57,863,849.68,21546,139435.83
South Salmara,16,1990,5579.22,28,512.42,,,31,104.77,2049,6196.41
Tamulpur,21,3748,7651.91,31,551.99,2,83.71,168,109.66,3949,8397.27
Tinsukia,151,22610,133835.57,1109,52545.11,77,8767.58,514,466.39,24310,195614.65
Udalguri,56,9964,23950.16,62,2985.15,2,25.65,352,408.65,10380,27369.61
West Karbi Anglong,21,1801,2098.46,2,19.07,6,65.15,0,0,1809,2182.68
