district,Total Branch,Current Year No. of Female Account,Current Year Sum of Female Amount,Current Year No. of Male Account to SC,Current Year Sum of Male Amount to SC,Current Year No. of Male Account to ST,Current Year Sum of Male Amount to ST,Total Current Year SUI Disb No.,Total Current Year SUI Disb Amount,SUI O/S No.,SUI O/S Amt.,SUI NPA No.,SUI NPA Amt.,SUI NPA Amt. %
Bajali,34,2,27.25,2,7.88,0,0.00,4,35.13,14,213.87,2,14.45,6.76
Baksa,34,0,0.00,0,0.00,0,0.00,0,0.00,10,179.52,1,9.63,5.36
Barpeta,93,12,162.38,4,48.78,1,19.00,17,230.16,59,978.31,7,99.88,10.21
Biswanath,63,6,80.13,1,27.00,0,0.00,7,107.13,20,255.16,3,20.09,7.87
Bongaigaon,69,7,44.71,1,18.00,0,0.00,8,62.71,60,785.26,14,107.99,13.75
Cachar,172,12,192.20,0,0.00,0,0.00,12,192.20,82,"1,208.75",9,75.44,6.24
Charaideo,36,1,0.00,0,0.00,0,0.00,1,0.00,16,239.61,3,37.41,15.61
Chirang,36,1,40.00,0,0.00,0,0.00,1,40.00,27,355.87,1,14.61,4.11
Darrang,70,3,78.48,0,0.00,1,12.18,4,90.66,40,566.85,14,131.50,23.20
Dhemaji,51,1,10.20,0,0.00,2,7.62,3,17.82,18,282.68,0,0.06,0.02
Dhubri,90,4,58.94,1,9.58,0,0.00,5,68.52,32,604.27,0,0.05,0.01
Dibrugarh,187,34,234.12,2,38.18,4,18.05,40,290.35,170,"2,146.03",24,290.96,13.56
Dima Hasao,33,0,0.00,0,0.00,0,0.00,0,0.00,11,122.59,1,7.07,5.77
Goalpara,71,3,41.24,1,18.00,0,0.00,4,59.24,33,373.31,13,65.40,17.52
Golaghat,126,2,45.73,0,0.00,0,0.00,2,45.73,53,890.60,7,71.32,8.01
Hailakandi,47,3,52.24,0,0.00,0,0.00,3,52.24,19,295.11,1,11.01,3.73
Hojai,66,1,15.16,0,0.00,0,0.00,1,15.16,71,881.07,24,105.63,11.99
Jorhat,145,11,180.55,1,26.00,1,50.00,13,256.55,103,"2,059.47",12,173.28,8.41
Kamrup,181,10,120.68,0,0.00,1,10.50,11,131.18,98,"1,737.85",9,102.31,5.89
Kamrup Metro,473,117,2118.53,7,68.09,9,95.58,133,2282.20,558,"10,766.00",74,810.13,7.52
Karbi Anglong,62,1,16.64,1,0.00,0,0.00,2,16.64,59,954.96,9,112.96,11.83
Kokrajhar,60,5,60.00,14,98.00,3,30.93,22,188.93,37,914.41,2,11.04,1.21
Lakhimpur,91,8,147.86,0,0.00,7,45.12,15,192.98,60,812.33,11,78.73,9.69
Majuli,16,1,0.17,0,0.00,3,26.06,4,26.23,15,153.53,0,0.00,0.00
Morigaon,70,2,37.92,3,24.98,2,33.00,7,95.90,50,712.24,13,67.27,9.44
Nagaon,156,9,116.14,0,0.00,0,0.00,9,116.14,118,"1,658.34",19,155.40,9.37
Nalbari,85,11,122.48,1,6.00,3,0.13,15,128.61,50,772.51,10,151.60,19.62
Sivasagar,106,8,124.29,0,0.00,0,0.00,8,124.29,74,"1,210.62",8,81.99,6.77
Sonitpur,134,21,429.93,10,60.00,1,0.00,32,489.93,122,"1,796.97",14,124.38,6.92
South Salmara,16,0,0.00,0,0.00,0,0.00,0,0.00,3,75.61,0,0.00,0.00
Sribhumi,95,3,38.00,0,0.00,0,0.00,3,38.00,36,784.78,8,59.76,7.61
Tamulpur,21,0,0.00,0,0.00,0,0.00,0,0.00,4,147.80,1,8.53,5.77
Tinsukia,151,13,132.52,0,0.00,0,0.00,13,132.52,125,"2,257.23",9,77.41,3.43
Udalguri,56,0,0.00,10,60.37,0,0.00,10,60.37,19,460.98,4,105.49,22.88
West Karbi Anglong,21,0,0.00,0,0.00,0,0.00,0,0.00,8,98.74,0,0.00,0.00
