District,Total Branch,Total Agri (PS) O/S No.,Total Agri (PS) O/S Amt,Total Agri (PS) NPA No.,Total Agri (PS) NPA Amt,Agri NPA Pct,Total Msme (PS) O/S No.,Total Msme (PS) O/S Amt,Total Msme (PS) NPA No.,Total Msme (PS) NPA Amt,Msme NPA Pct,Total Other PS O/S No.,Total Other PS O/S Amt,Total Other (PS) NPA No.,Total Other (PS) NPA Amt,Other(PS) NPA Pct,Total PS O/S No.,Total PS O/S Amt,Total PSA NPA No.,Total PSA NPA Amt,TOTAL PSA NPA Pct
Bajali,34,20098,22206.17,5904,2940.86,13.24,4055,18316.34,689,649.06,3.54,4472,12939.08,160,204.79,1.58,28625,53461.59,6753,3794.71,7.10
Baksa,34,17815,22959.72,4226,2299.66,10.02,5243,14469.87,1522,1517.49,10.49,1709,7605.00,162,125.19,1.65,24767,45034.59,5910,3942.34,8.75
Barpeta,93,65465,82981.99,22698,15125.06,18.23,15938,85081.93,4023,6126.23,7.20,18444,33992.52,1129,482.96,1.42,99847,202056.44,27850,21734.25,10.76
Biswanath,63,40628,53692.33,13415,7242.88,13.49,9158,31963.25,2387,2060.60,6.45,9323,17572.77,1899,631.65,3.59,59109,103228.35,17701,9935.13,9.62
Bongaigaon,69,33833,42641.65,6107,4111.74,9.64,12748,69848.53,2448,4145.26,5.93,11663,27480.84,205,269.34,0.98,58244,139971.02,8760,8526.34,6.09
Cachar,172,84626,77095.73,28703,15120.03,19.61,28314,158700.20,6669,10733.35,6.76,54005,53943.55,1547,984.54,1.83,166945,289739.48,36919,26837.92,9.26
Charaideo,36,21418,25314.52,2379,1462.21,5.78,5620,18195.38,1175,1611.69,8.86,4080,6143.85,154,136.44,2.22,31118,49653.75,3708,3210.34,6.47
Chirang,36,20378,21988.90,6661,3782.56,17.20,6234,19743.10,2481,1985.09,10.05,6371,9823.60,997,128.79,1.31,32983,51555.60,10139,5896.44,11.44
Darrang,70,56126,65606.95,16468,9742.49,14.85,12031,55643.44,3304,4235.28,7.61,9875,25074.67,889,551.39,2.20,78032,146325.06,20661,14529.16,9.93
Dhemaji,51,38556,44038.14,12568,8520.96,19.35,11709,36329.90,2394,2439.98,6.72,8035,24025.31,366,261.64,1.09,58300,104393.35,15328,11222.58,10.75
