District,Total Branch,BHIM/UPI A/C,BHIM/UPI Amt,BHIM Aadhaar A/C,BHIM Aadhaar Amt,Bharat QR Code A/C,Bharat QR Code Amt,IMPS A/C,IMPS Amt,Cards (Debit & Credit) A/C,Cards (Debit & Credit) Amt,USSD A/C,USSD Amt
Bajali,34,9698943,136830.63,252,59.19,3914,165.53,115519,238519.52,102987,4030.02,29323,762.32
Baksa,34,8945918,115571.71,264,1124.85,66,5.31,86241,7507.27,83594,3696.91,16368,413.64
Barpeta,93,45094407,747530.95,2237,25612.69,19230,526.07,626596,898519.70,237763,11345.12,50894,1369.21
Biswanath,63,20116623,224644.76,320,3369.13,3921,177.57,264766,312678.86,226520,9507.20,29760,757.67
Bongaigaon,69,21867810,370276.87,645,6310.61,15988,636.76,312552,854736.40,255831,13392.33,53816,1457.80
Cachar,172,49608660,730527.71,1092,6962.32,52403,990.71,684211,827334.12,693811,38569.96,121267,3124.27
Charaideo,36,11423971,116944.23,225,1194.35,3460,64.97,221458,133104.36,137622,5626.62,13865,400.33
Chirang,36,10307290,156164.18,400,1898.01,3560,124.89,77884,224512.23,76568,3847.94,41070,1063.23
Darrang,70,25156907,407409.34,1257,11504.56,15861,574.86,306997,934206.96,216587,10474.06,25386,713.91
Dhemaji,51,23362748,262221.81,634,9039.61,17501,270.25,205448,356221.00,147930,6478.27,26193,715.05
Dhubri,90,42507663,635408.64,1912,20856.88,18658,345.40,829619,705807.85,245189,11494.03,34098,1157.83
Dibrugarh,187,50736120,816047.69,1453,3440.96,26849,538.41,756866,615582.72,976601,40511.00,170311,4070.79
Dima Hasao,33,7457758,105182.88,82,269.44,3304,59.56,65852,112935.06,64941,2729.20,8638,332.98
Goalpara,71,26573505,476869.33,1557,24379.17,6497,275.83,417488,673384.23,164983,8896.19,22872,685.03
Golaghat,126,36707884,429112.29,1233,8581.97,30820,350.93,594588,307704.97,503952,18814.02,73935,1888.73
Hailakandi,47,16535587,229142.21,729,3782.01,878,77.83,255773,116212.56,134907,6096.68,13020,375.10
Hojai,66,35202888,490178.89,718,1494.13,14030,404.65,388930,407745.83,310272,14872.97,24178,693.23
Jorhat,145,34858748,691284.38,1422,1125.57,30348,1264.60,524381,383983.29,693813,27136.56,172132,3978.24
Kamrup Metro,181,46020863,702318.25,1353,14327.64,43679,890.97,404447,1246421.50,532155,25964.41,93673,2820.33
Karbi Anglong,62,18487941,219855.37,363,5765.84,1274,70.31,186982,132935.51,118939,5496.51,32682,865.12
Kokrajhar,60,18869855,282379.04,835,7031.11,4348,244.23,211404,544194.46,144307,6894.55,45230,1518.02
Lakhimpur,91,37231135,428934.34,1094,14753.72,6739,310.83,674820,525631.06,320306,13416.40,36403,1020.81
Majuli,16,6006379,53522.01,49,391.89,1490,53.24,85123,60216.27,107691,4963.00,4754,115.99
Morigaon,70,24231795,370692.02,1330,10692.86,17847,334.21,411963,250964.91,266343,13555.40,23645,583.58
Nagaon,156,51720921,800548.53,3251,34212.73,22017,651.91,911273,689137.22,490862,24389.50,84067,2461.37
Nalbari,85,20157705,290741.86,719,8184.72,14696,327.28,217154,238847.35,215288,10981.55,51201,1319.98
Sivasagar,106,29401613,333337.44,505,1947.94,53339,646.32,505536,204965.63,432339,17302.71,98918,2582.83
Sonitpur,134,40022878,542953.90,871,6889.51,45306,820.67,608707,710419.45,506861,23201.93,174044,3614.58
South Salmara,16,4889259,111227.56,959,16902.07,1234,162.03,52168,259064.54,11444,652.96,1337,76.82
Tamulpur,21,7323701,95275.67,259,2824.01,1218,75.32,35634,59515.01,46178,2175.37,16651,415.39
Tinsukia,151,40197184,541800.62,5032,7011.55,25916,691.12,641701,622132.05,627832,40223.81,79891,1860.49
Udalguri,56,18659712,235398.50,1388,6705.41,7744,193.29,155266,191927.13,115171,5794.23,29083,667.80
West Karbi Anglong,21,6815632,62037.07,542,508.69,0,0,55677,2491.69,18550,689.64,7078,206.14
