district,Total Branch,SC Disb No,SC Disb Amt,SC O/S No,SC O/S Amt,ST Disb No,ST Disb Amt,ST O/S No,ST O/S Amt
Bajali,34,123,473.26,"2,056","3,303.42",124,571.59,"1,405","4,574.12"
Baksa,34,130,250.32,"1,214","3,260.82",836,"2,199.08","7,229","19,800.41"
Barpeta,93,405,"1,023.38","5,066","7,280.51",184,"1,107.34","2,580","8,508.93"
Biswanath,63,294,"1,033.70","4,526","6,697.27",339,769.56,"8,994","10,589.10"
Bongaigaon,69,399,"1,483.93","4,748","10,666.16",404,"2,144.50","4,375","19,655.08"
Cachar,172,"1,751","3,348.40","21,447","24,071.39",245,882.51,"3,779","10,641.81"
Charaideo,36,39,100.51,699,"1,192.91",50,200.57,731,"2,215.42"
Chirang,36,200,483.19,"1,850","3,339.67","1,022","2,840.38","15,400","31,526.73"
Darrang,70,112,413.65,"1,815","3,388.31",141,485.46,"1,528","4,616.68"
Dhemaji,51,167,956.69,"3,175","6,736.21","1,736","6,029.09","24,018","57,373.54"
Dhubri,90,273,721.41,"3,720","5,647.54",195,450.45,"3,547","5,148.88"
Dibrugarh,187,846,"1,774.95","8,647","17,339.49","1,441","4,316.21","12,769","34,918.11"
Dima Hasao,33,45,179.45,513,"1,589.22",530,"2,307.07","6,680","24,985.00"
Goalpara,71,231,526.35,"2,699","4,659.77",997,"1,998.73","10,021","17,503.72"
Golaghat,126,531,"1,154.07","7,746","10,739.41",671,"1,783.09","12,441","20,589.49"
Hailakandi,47,298,690.20,"3,445","4,900.34",58,187.12,843,"1,814.93"
Hojai,66,348,966.22,"5,474","8,156.36",186,896.00,"2,946","7,970.48"
Jorhat,145,632,"1,674.00","8,821","15,591.91",791,"2,421.87","14,220","24,816.50"
Kamrup Metro,181,"1,118","1,803.41","10,280","13,250.28","1,219","2,435.45","12,701","24,413.47"
Karbi Anglong,62,138,996.27,"1,318","4,315.27","1,682","6,231.03","20,949","61,512.38"
Kokrajhar,60,289,"1,055.55","2,560","6,108.43","2,313","9,076.79","24,598","77,361.63"
Lakhimpur,91,606,"1,872.97","7,920","14,038.06","2,177","4,877.17","25,753","53,510.89"
Majuli,16,79,419.44,"1,329","3,026.57",298,963.47,"4,893","11,980.06"
Morigaon,70,322,858.42,"6,353","8,321.90",645,"1,674.86","11,136","16,091.89"
Nagaon,156,821,"2,366.07","11,900","16,300.10",557,"1,861.33","8,397","18,050.53"
Nalbari,85,329,"1,667.27","3,711","6,822.94",313,848.22,"2,488","6,757.72"
Sivasagar,106,286,"1,182.77","4,899","9,928.58",330,"1,183.10","4,061","12,093.85"
Sonitpur,134,527,"1,844.36","6,732","13,726.19",690,"2,095.40","8,130","20,923.34"
South Salmara,16,5,12.13,100,295.09,8,48.07,128,416.70
Tamulpur,21,70,275.13,"1,425","2,399.46",337,"1,085.89","5,280","12,733.67"
Tinsukia,151,350,"1,160.88","4,180","8,519.84",873,"2,983.28","8,631","25,987.44"
Udalguri,56,239,787.46,"2,452","4,365.22","1,997","4,917.46","29,149","50,467.62"
West Karbi Anglong,21,68,216.78,402,"1,024.20",513,"1,259.14","5,192","13,537.69"
