district,Total Branch,Number of operative CASA,Number of Aadhaar seeded CASA,Number of Authenticated CASA
Bajali,34,"377,268","193,238","118,584"
Baksa,34,"546,484","352,931","181,720"
Barpeta,94,"1,681,019","925,727","617,514"
Biswanath,63,"898,080","457,509","247,377"
Bongaigaon,69,"901,926","451,567","234,382"
Cachar,175,"2,007,452","1,089,903","530,222"
Charaideo,36,"510,326","296,860","138,148"
Chirang,36,"603,208","320,573","204,658"
Darrang,70,"1,195,526","668,276","310,342"
Dhemaji,52,"967,185","484,951","275,327"
Dhubri,91,"1,934,586","1,144,717","542,918"
Dibrugarh,189,"1,722,599","746,570","462,627"
Dima Hasao,34,"250,252","127,629","63,714"
Goalpara,71,"1,173,184","674,406","329,408"
Golaghat,127,"1,380,692","722,544","313,754"
Hailakandi,47,"712,187","456,728","270,836"
Hojai,67,"1,062,232","599,780","277,478"
Jorhat,146,"1,301,351","639,814","330,809"
Kamrup,183,"2,018,255","984,658","585,543"
Kamrup Metro,474,"2,740,024","905,442","684,895"
Karbi Anglong,63,"691,067","370,803","223,945"
Kokrajhar,61,"1,126,361","630,392","435,855"
Lakhimpur,92,"1,304,880","670,717","296,368"
Majuli,17,"269,181","175,946","91,537"
Morigaon,70,"1,129,131","685,357","348,101"
Nagaon,156,"2,495,277","1,484,126","699,091"
Nalbari,87,"1,113,667","600,197","367,467"
Sivasagar,107,"974,855","483,487","222,180"
Sonitpur,135,"1,606,259","869,043","600,327"
South Salmara,17,"336,885","217,433","152,331"
Sribhumi,96,"1,314,154","777,424","323,178"
Tamulpur,21,"445,677","257,013","154,335"
Tinsukia,152,"1,311,218","638,169","448,107"
Udalguri,56,"1,006,845","554,548","332,955"
West Karbi Anglong,21,"251,430","123,855","68,208"
