District,Total Branch,Current Year Self-Help Group No.,Current Year Self-Help Group Amt,NRLM O/S No.,NRLM O/S Amt,NRLM Irregular A/C No.,NRLM Irregular A/C Amt,NRLM NPA No.,NRLM NPA Amt,NRLM NPA Pct
Bajali,34,278,1364.24,3492,9927.20,29,47.43,30,31.11,0.31
Baksa,34,418,1738.45,4983,14498.95,70,147.98,163,163.91,1.13
Barpeta,93,1544,6999.96,11187,30165.79,265,381.42,423,316.26,1.05
Biswanath,63,1093,3422.33,9546,26927.59,262,623.62,135,161.90,0.60
Bongaigaon,69,808,3229.60,6480,18499.93,278,405.07,97,90.22,0.49
Cachar,172,1393,4443.68,9437,23963.59,239,321.21,183,145.36,0.61
Charaideo,36,351,1318.21,4596,13297.95,69,72.99,74,60.22,0.45
Chirang,36,612,1922.55,4181,12165.34,162,228.10,106,85.99,0.71
Darrang,70,1210,4385.60,8708,23786.03,239,388.96,108,102.82,0.43
Dhemaji,51,1486,4460.85,8471,24427.47,327,481.83,149,91.16,0.37
Dhubri,90,1648,4018.30,10476,22582.67,427,507.41,419,257.67,1.14
Dibrugarh,187,1852,6111.23,10228,32226.78,406,761.67,292,206.00,0.64
Dima Hasao,33,74,256.03,1419,3666.98,88,185.21,37,70.87,1.93
Goalpara,71,936,3576.98,7974,23619.96,182,308.34,127,91.40,0.39
Golaghat,126,1720,6099.44,12267,40085.89,434,917.60,169,239.27,0.60
Hailakandi,47,500,1015.95,3975,8193.97,310,363.57,326,298.27,3.64
Hojai,66,841,3370.47,6355,16220.27,171,157.05,82,70.45,0.43
Jorhat,145,1047,3976.63,9055,27190.59,208,354.27,81,114.70,0.42
Kamrup Metro,181,2263,8324.01,14863,44918.58,421,924.97,439,383.21,0.85
Karbi Anglong,62,313,1241.01,7252,26289.77,47,53.77,77,47.55,0.18
Kokrajhar,60,1152,3541.75,6617,17661.03,450,565.93,135,158.01,0.89
Lakhimpur,91,1518,5531.17,11866,32095.28,447,738.58,188,127.82,0.40
Majuli,16,184,826.85,2282,5654.35,87,120.11,88,118.87,2.10
Morigaon,70,691,2933.54,7901,20161.32,130,218.64,304,215.20,1.07
Nagaon,156,2333,9214.77,18570,50987.02,524,767.55,343,311.16,0.61
Nalbari,85,1175,5343.80,8809,28037.03,137,297.51,166,132.55,0.47
Sivasagar,106,869,2849.21,6801,18769.99,201,282.38,99,97.64,0.52
Sonitpur,134,1598,6081.29,10393,30911.87,282,361.75,289,123.33,0.40
South Salmara,16,140,227.19,1193,2732.92,28,31.66,149,51.47,1.88
Tamulpur,21,482,1811.97,3851,11404.52,42,57.89,21,26.29,0.23
Tinsukia,151,1391,5171.00,9316,30730.23,276,473.07,207,150.78,0.49
Udalguri,56,1407,4941.10,7979,21238.08,269,453.10,122,179.49,0.85
West Karbi Anglong,21,123,488.86,2794,8645.22,38,49.82,55,45.79,0.53
