district,Total Branch,Micro No,Micro Amt,Small No,Small Amt,Medium No,Medium Amt,KVIC No,KVIC Amt,Other MSME No,Other MSME Amt,Tot MSME (PS) NPA No.,Tot MSME (PS) NPA Amt.
Bajali,34,674,615.01,1,8.11,0,0,14,25.94,0,0.00,689,649.06
Baksa,34,"1,220","1,144.89",41,67.04,0,0,241,290.12,20,15.44,"1,522","1,517.49"
Barpeta,93,"3,785","5,556.59",116,406.20,4,8.45,114,152.37,4,2.62,"4,023","6,126.23"
Biswanath,63,"2,344","1,812.24",19,219.59,0,0,22,23.01,2,5.76,"2,387","2,060.60"
Bongaigaon,69,"2,181","2,221.03",128,"1,744.51",0,0,125,167.38,14,12.34,"2,448","4,145.26"
Cachar,172,"5,869","8,636.02",579,"1,827.30",4,1.61,106,105.44,111,162.98,"6,669","10,733.35"
Charaideo,36,"1,104","1,503.07",32,34.89,0,0,39,73.73,0,0.00,"1,175","1,611.69"
Chirang,36,"2,075","1,585.17",8,5.76,0,0,391,388.44,7,5.72,"2,481","1,985.09"
Darrang,70,"2,999","3,601.73",155,445.90,1,1.25,113,146.80,36,39.60,"3,304","4,235.28"
Dhemaji,51,"2,281","2,082.25",52,272.82,1,5.86,52,70.94,8,8.11,"2,394","2,439.98"
Dhubri,90,"4,248","3,348.05",29,380.76,0,0,182,223.56,29,36.28,"4,488","3,988.65"
Dibrugarh,187,"6,956","10,640.23",479,"3,036.40",8,138.31,168,251.25,174,272.81,"7,785","14,339.00"
Dima Hasao,33,604,582.76,116,68.29,0,0,12,10.45,3,2.01,735,663.51
Goalpara,71,"2,647","3,313.64",215,224.08,0,0,143,170.35,13,18.14,"3,018","3,726.21"
Golaghat,126,"3,856","4,290.65",145,877.83,0,0,71,116.95,9,13.47,"4,081","5,298.90"
Hailakandi,47,"1,753","1,619.76",171,333.02,1,0.28,121,163.22,12,23.29,"2,058","2,139.57"
Hojai,66,"2,972","3,731.79",153,348.13,2,2.18,22,77.35,4,2.13,"3,153","4,161.58"
Jorhat,145,"4,079","9,948.63",239,"4,860.95",20,5373.33,64,98.33,109,235.74,"4,511","20,516.98"
Kamrup,181,"4,824","6,030.96",211,550.08,2,1.95,263,486.60,64,39.88,"5,364","7,109.47"
Kamrup Metro,473,"10,546","39,769.31","2,022","36,343.38",53,"13,252.56",112,119.62,274,492.54,"13,007","89,977.41"
Karbi Anglong,62,"1,836","1,529.49",143,164.64,0,0,103,42.04,3,1.09,"2,085","1,737.26"
Kokrajhar,60,"2,865","3,315.97",14,434.80,0,0,497,569.32,6,6.07,"3,382","4,326.16"
Lakhimpur,91,"5,429","4,993.11",468,746.04,21,10.42,56,75.42,10,13.51,"5,984","5,838.50"
Majuli,16,362,393.88,27,40.38,0,0,5,4.82,3,3.19,397,442.27
Morigaon,70,"3,552","4,257.09",452,728.52,1,0.9,114,188.65,62,30.78,"4,181","5,205.94"
Nagaon,156,"7,769","9,164.82",401,"1,363.90",3,6.16,209,309.00,76,224.05,"8,458","11,067.93"
Nalbari,85,"3,281","3,726.00",263,527.81,1,0.28,224,336.81,28,53.54,"3,797","4,644.44"
Sivasagar,106,"3,399","4,660.65",350,477.81,2,2.95,76,161.47,12,11.09,"3,839","5,313.97"
Sonitpur,134,"5,188","7,852.34",200,"1,020.21",1,7.8,187,279.94,47,105.62,"5,623","9,265.91"
South Salmara,16,832,"1,068.50",-,-,0,0,103,192.10,0,0.00,935,"1,260.60"
Sribhumi,95,"2,295","3,444.17",196,660.09,0,0,103,46.38,10,112.89,"2,604","4,263.53"
Tamulpur,21,822,732.96,4,14.34,0,0,70,83.86,4,10.93,900,842.09
Tinsukia,151,"4,927","7,180.41",511,"1,604.03",3,12.02,203,245.06,61,134.75,"5,705","9,176.27"
Udalguri,56,"3,472","4,795.31",148,165.18,0,0,318,554.61,7,10.39,"3,945","5,525.49"
West Karbi Anglong,21,348,146.07,1,1.16,0,0,1,1.48,0,0.00,350,148.71
