district,Total Branch,Agriculture (NPS) No.,Agriculture (NPS) Amt.,MSME (NPS) No.,MSME (NPS) Amt.,Exp Credit (NPS) A/C,Exp Credit (NPS) Amt.,Education (NPS) A/C,Education (NPS) Amt.,Housing (NPS) A/C,Housing (NPS) Amt.,Personal Loans under NPS A/C,Personal Loans under NPS Amt.,Others NPS A/C,Others NPS Amt.,Total ACP (NPS) Disb No.,Total ACP (NPS) Disb Amt.
Bajali,34,2,15.07,0,0,7,4.44,0,0,123,719.07,160,773.60,"1,645","6,043.48","1,937","7,555.66"
Baksa,34,-,-,0,0,0,0,0,0,28,234.19,148,512.08,"1,137","4,152.01","1,313","4,898.28"
Barpeta,93,6,17.17,0,0,5,6.18,1,3.85,253,"1,351.62",511,"1,775.04","6,165","19,945.66","6,941","23,099.52"
Biswanath,63,2,3.21,0,0,4,3.73,2,12.51,68,429.53,152,599.49,"1,992","6,589.28","2,220","7,637.75"
Bongaigaon,69,5,16.59,0,0,2,4.66,3,20.38,187,"1,455.11",535,"2,292.45","5,791","16,552.67","6,523","20,341.86"
Cachar,172,0,0,0,0,3,4.76,5,27.35,190,"1,951.67","1,072","3,371.63","14,737","37,650.15","16,007","43,005.56"
Charaideo,36,0,0,0,0,2,2.18,0,0,20,263.08,79,180.28,"1,112","3,476.62","1,213","3,922.16"
Chirang,36,0,0,0,0,2,1,0,0,43,229.86,156,294.62,"1,212","6,172.23","1,413","6,697.71"
Darrang,70,2,6.92,1,10,1,0.7,1,10.75,132,694.27,537,"1,373.55","3,313","11,413.53","3,987","13,509.72"
Dhemaji,51,7,39.56,0,0,2,1.77,0,0,124,651.40,243,989.27,"3,634","11,241.54","4,010","12,923.54"
Dhubri,90,13,26.80,0,0,1,3.37,1,5,108,581.46,495,"1,321.98","4,613","14,331.78","5,231","16,270.39"
Dibrugarh,187,1,0.28,0,0,8,12.74,6,37.49,323,"3,071.17","1,067","5,482.48","15,026","123,396.60","16,431","132,000.76"
Dima Hasao,33,0,0,0,0,1,0.05,2,8.52,13,112.00,163,"1,113.68","1,041","4,495.37","1,220","5,729.62"
Goalpara,71,2,0.69,0,0,1,0.65,0,0,62,270.91,206,730.08,"3,435","10,887.43","3,706","11,889.76"
Golaghat,126,8,67.05,0,0,4,1.84,2,5.37,123,"1,085.01",508,"1,769.82","6,843","21,633.04","7,488","24,562.13"
Hailakandi,47,2,1.51,0,0,0,0,0,0,37,213.11,189,531.09,"2,047","5,105.36","2,275","5,851.07"
Hojai,66,6,11.90,0,0,7,10.91,3,11.9,60,398.08,316,918.63,"4,176","10,282.33","4,568","11,633.75"
Jorhat,145,5,978.00,1,0.11,8,12.97,3,10.08,522,"3,187.69",868,"3,519.09","11,293","30,510.91","12,700","38,218.85"
Kamrup Metro,181,3,3.43,0,0,13,14.1,3,35.05,708,"3,307.15",641,"2,801.60","19,234","30,351.90","20,602","36,513.23"
Karbi Anglong,62,1,240.00,1,10.00,0,0,0,0.00,44,176.89,334,"1,551.37","2,641","8,984.90","3,021","10,963.16"
Kokrajhar,60,2,1157.1,0,0,0,0,0,0,174,"1,142.88",307,"1,094.58","5,082","16,782.49","5,565","20,177.05"
Lakhimpur,91,9,51.40,1,3.5,0,0,2,10.11,215,"1,493.88",452,"1,951.98","6,088","20,368.13","6,767","23,879.00"
Majuli,16,-,-,0,0,0,0,0,0,29,98.62,76,466.18,339,"1,792.08",444,"2,356.88"
Morigaon,70,6,30.8,0,0,4,4,1,0.31,98,667.85,403,"1,971.75","2,231","6,437.74","2,743","9,112.45"
Nagaon,156,15,86.4,0,0,6,9.91,10,81.68,373,"2,620.66",700,"2,787.94","11,755","32,467.36","12,859","38,053.95"
Nalbari,85,1,0.01,0,0,12,7.64,1,15.58,195,"2,004.40",432,"2,178.64","4,817","15,619.44","5,458","19,825.71"
Sivasagar,106,7,31.52,1,0.12,9,17.76,4,70.09,142,"1,405.71",585,"2,440.73","8,948","23,276.47","9,696","27,242.40"
Sonitpur,134,7,42.95,0,0,7,4.41,5,60.92,347,"3,370.41",655,"2,530.48","9,756","27,327.98","10,777","33,337.15"
South Salmara,16,1,0.02,0,0,3,1.53,0,0,12,163.82,91,148.82,287,"1,423.76",394,"1,737.95"
Tamulpur,21,0,0,0,0,5,4.61,0,0,24,59.57,62,168.02,700,"2,438.05",791,"2,670.25"
Tinsukia,151,7,454.40,1,4.81,6,8.73,4,39.71,190,"2,047.93",818,"2,828.76","8,306","27,307.24","9,332","32,691.58"
Udalguri,56,3,6.97,0,0,2,1.63,0,0,64,414.29,124,437.52,"2,402","8,375.13","2,595","9,235.54"
West Karbi Anglong,21,1,1.5,0,0,0,0,1,11.95,1,0.02,44,260.12,233,"1,257.33",280,"1,530.92"
