district,no_of_atm_cum_debit_cards_i_no
Almora,4.39
Bageshwar,2.15
Chamoli,3.83
Champawat,2.11
Dehradun,15.07
Haridwar,15.6
Nainital,6.53
Pauri Garhwal,4.05
Pithoragarh,2.79
Rudraprayag,1.96
Tehri Garhwal,4.68
Udham Singh Nagar,12.75
Uttarkashi,3.34
