district,no_of_bank_branches_per_one_lakh_population_i_no,no_of_bc_csp_outlets_per_one_lakh_population_ii_no,no_of_atms_per_one_lakh_population_iii_no,no_of_bank_branches_per_one_lakh_population,no_of_bc_outlets_per_one_lakh_population_ii,no_of_atms_per_one_lakh_population_iii
Almora,24,26,23,24,26,23
Bageshwar,20,25,14,20,25,14
Chamoli,23,24,20,23,24,20
Champawat,23,28,21,23,28,21
Dehradun,34,22,52,34,22,48
Haridwar,15,21,51,15,21,51
Nainital,27,29,33,27,29,33
Pauri Garhwal,29,20,21,29,20,21
Pithoragarh,22,20,14,22,20,14
Rudraprayag,23,22,10,23,22,10
Tehri Garhwal,21,19,24,21,19,24
Udham Singh Nagar,20,23,37,20,23,37
Uttarkashi,20,30,25,20,30,25
