district,no_of_beneficiaries_i_female,out_of_i_no_of_bank_credit_linked_ii_female
Almora,1749,643
Bageshwar,674,365
Chamoli,2536,1048
Champawat,980,488
Dehradun,2346,1486
Haridwar,2917,608
Nainital,3089,1144
Pauri Garhwal,3742,1803
Pithoragarh,1787,849
Rudraprayag,993,538
Tehri Garhwal,2038,786
Udham Singh Nagar,4463,1837
Uttarkashi,1384,401
