district,no_of_financial_literacy_centres_flcs_i_no,no_of_financial_literacy_camps_conducted_by_flcs_and_no_of_beneficiaries_no_of_flc_ii_no,no_of_financial_literacy_camps_conducted_by_flcs_and_no_of_beneficiaries_no_of_beneffic_iaries_ii_no,implementation_of_centre_for_financial_literacy_cfl_at_block_level_no_of_beneffic_iaries_iii_no,no_of_financial_literacy_centres_flcs
Almora,1,152,4844,0,1
Bageshwar,1,49,1702,0,1
Chamoli,1,83,2845,0,1
Champawat,1,62,1593,0,1
Dehradun,2,216,9315,0,2
Haridwar,1,86,3264,0,1
Nainital,2,115,4595,0,2
Pauri Garhwal,1,45,991,0,1
Pithoragarh,1,47,1175,0,1
Rudraprayag,1,101,3497,0,1
Tehri Garhwal,2,51,1213,0,2
Udham Singh Nagar,2,76,2647,0,2
Uttarkashi,1,81,1569,0,1
