district,there_are_about_42_867_self_help_groups_shgs_are_present_in_the_state_of_uttarakhand_as_on_june_2021_in_the_state_th,no_of_beneficiaries_i_male,no_of_beneficiaries_i_female,out_of_i_no_of_bank_credit_linked_ii_male,out_of_i_no_of_bank_credit_linked_ii_female,total_no_of_shg,out_of_1_no_of_shgs_credit_linkage,average_ticket_size_of_shg_loan_o_s_total_credit_o_s_of_shg_no_of_credit_linked_shgs,total_no_of_jlg,loan_o_s_to_jlgs,average_ticket_size_of_jlg_loan_o_s_total_credit_o_s_of_jlg_no_of_jlgs
Almora,23,275,476,0,0,3369,1825,105000,988,4.32,43700
Bageshwar,27,491,648,0,0,2950,1705,105000,95,0.37,38325
Chamoli,75,38,118,6,5,3192,2145,110000,111,0.48,43620
Champawat,27,480,630,0,0,1975,1220,90000,167,0.75,44650
Dehradun,41,8665,10798,0,0,3119,1880,115000,25979,82.34,31695
Haridwar,79,184,180,0,0,2933,1785,120000,42801,113.81,26590
Nainital,43,0,0,0,0,1018,630,110000,6246,22.39,35850
Pauri Garhwal,24,110,85,5,7,4519,2870,85000,1355,5.32,39250
Pithoragarh,43,318,452,0,0,3331,1958,85000,508,1.8,35540
Rudraprayag,23,32,103,6,5,875,575,85000,70,0.29,41250
Tehri Garhwal,26,250,150,30,16,4210,2630,80000,311,1.29,41560
Udham Singh Nagar,113,4125,3752,201,195,2402,1565,100000,14075,89.4,63520
Uttarkashi,42,30,154,6,8,2514,1758,110000,242,0.98,40320
