district,no_of_beneficiaries_i_male,no_of_beneficiaries_i_female,out_of_i_no_of_bank_credit_linked_ii_male,out_of_i_no_of_bank_credit_linked_ii_female
Almora,170,198,23,64
Bageshwar,112,353,42,64
Chamoli,133,294,90,127
Champawat,110,318,58,77
Dehradun,69,382,15,164
Haridwar,145,358,17,112
Nainital,176,155,60,143
Pauri Garhwal,49,287,11,212
Pithoragarh,118,324,63,118
Rudraprayag,83,179,38,127
Tehri Garhwal,66,202,51,128
Udham Singh Nagar,97,493,36,393
Uttarkashi,55,294,31,176
