district,total_no_of_kcc_issued,total_no_of_kcc_issued_amt_o_s,total_no_of_kcc_issued_to_sf_mf,total_no_of_kcc_issued_to_sf_mf_amt_o_s
Almora,24575,10000,24575,10000
Bageshwar,9863,3400,9863,3400
Chamoli,19567,5300,19567,5300
Champawat,15470,8000,15470,8000
Dehradun,35551,34500,31986,31100
Haridwar,112465,152100,96842,130600
Nainital,54615,62900,46306,54200
Pauri Garhwal,29508,4500,29508,4500
Pithoragarh,30265,15900,30265,15900
Rudraprayag,13168,3600,13168,3600
Tehri Garhwal,37768,13100,37768,13100
Udham Singh Nagar,176750,352900,149020,297600
Uttarkashi,34150,17500,34150,17500
