district,c_d_ratio_pct
Almora,23
Bageshwar,27
Chamoli,75
Champawat,27
Dehradun,41
Haridwar,79
Nainital,43
Pauri Garhwal,24
Pithoragarh,43
Rudraprayag,23
Tehri Garhwal,26
Udham Singh Nagar,113
Uttarkashi,42
