district,no_of_bsbda_per_one_lakh_population_i_no,no_of_pmjdy_a_c_per_on_e_lakh_popu_lation_ii_no,i_no_of_credit_accounts_per_one_lakh_population,no_of_active_pmjdy_a_c,out_of_i_availing_od_facility_ii,no_of_pm_jdy_a_c_p_er_one_lak_h_population_ii_no,total_no_of_kcc_issued,total_no_of_kcc_issued_amt_o_s,total_no_of_kcc_issued_to_sf_mf,total_no_of_kcc_issued_to_sf_mf_amt_o_s
Almora,10625,18628,11005,92450,11139,18628,24575,100,24575,100
Bageshwar,10120,16593,9460,34502,155,16593,9863,34,9863,34
Chamoli,10980,18778,13983,58827,943,18778,19567,53,19567,53
Champawat,11520,19411,11589,39825,118,19411,15470,80,15470,80
Dehradun,18950,26390,25813,380590,18162,26390,35551,345,31986,311
Haridwar,35465,33147,19840,532633,22120,33147,112465,1521,96842,1306
Nainital,19590,24789,19137,201141,4850,24789,54615,629,46306,542
Pauri Garhwal,10770,17184,12663,94480,1045,17184,29508,45,29508,45
Pithoragarh,8690,13536,14335,52350,456,13536,30265,159,30265,159
Rudraprayag,10060,16919,11697,32794,599,16919,13168,36,13168,36
Tehri Garhwal,11479,18970,12045,93862,650,18970,37768,131,37768,131
Udham Singh Nagar,44250,2402,26048,573970,25412,40952,176750,3529,149020,2976
Uttarkashi,16080,26244,17489,69302,1254,26244,34150,175,34150,175
