district,No Medium,Small Amt,Small No,Amt Micro,No Micro,Amt Ancillary,No Ancillary,Agri Amt Infra,Agri No Infra,Term Amt Loan,Loan Term No,Crop Amt,Crop No
East Garo Hills,0,1.26,1,301,672,0.26,1,367.08,1365,17.09,40,847.43,1985
East Jaintia Hills,0,433.8,32,781.08,324,27.5,21,110.17,413,28.42,44,40.33,44
East Khasi Hills,6,1607.15,153,7592.08,2849,1236.71,116,1062.25,811,189.89,354,2369.98,4909
Eastern West Khasi Hills,0,23.91,4,239.5,162,2,2,25.79,106,42.92,55,426.68,1043
North Garo Hills,0,0,0,339.83,415,19.82,12,471.66,1709,0.17,1,1378.83,2952
Ri Bhoi,0,212.35,32,1170.65,1023,197.01,271,410.18,1797,171.28,647,7875.94,13543
South Garo Hills,0,0,0,285.99,262,0,0,237.28,1291,19.36,52,298.89,947
South West Garo Hills,0,0.03,1,367.65,278,0,0,1079.34,1912,11.86,37,1277.62,3198
South West Khasi Hills,0,3.95,2,60.46,48,0,0,24.37,119,6.82,9,157.57,380
West Garo Hills,0,174.7,57,1639.6,1893,2.54,3,575.36,2776,140.16,322,2210.74,5172
West Jaintia Hills,5,1101.41,88,1434.67,763,132.37,86,125.44,348,35.01,62,844.77,1618
West Khasi Hills,0,29.75,4,630.99,377,0,0,77.45,455,33.85,54,1825.51,2990
