district,Tot NPA MSME Amt. (PS),Tot NPA MSME No. (PS),Total O/S Amt. MSME (PS),(PS) Total O/S No. MSME,Agri Amt % NPA,Tot NPA Agri Amt. (PS),Tot NPA Agri No. (PS),Total O/S Agri Amt. (PS),Total O/S Agri No. (PS)
East Garo Hills,336.56,695,2484.69,2323,23.06,1231.86,3391,5341.9,5051
East Jaintia Hills,1229.33,361,6719.4,1970,4.57,206.42,522,4512.38,2482
East Khasi Hills,11409.44,3073,196737.6,16477,3.65,4858.83,6190,133070.28,27366
Eastern West Khasi Hills,278.13,175,2517.15,1734,11.89,497.39,1206,4182.07,7203
North Garo Hills,343.57,417,1343.96,1085,49.92,1870.48,4674,3747.24,5953
Ri Bhoi,1486.03,1116,51213.9,5793,34.33,8654.41,16258,25208.52,33685
South Garo Hills,301.94,278,937.03,659,20.74,555.53,2290,2678.82,3124
South West Garo Hills,423.86,298,2212.8,1274,51.81,2368.82,5147,4572.17,7569
South West Khasi Hills,76.46,56,1282.52,704,8.52,188.76,508,2215.43,2797
West Garo Hills,1907.35,1985,14790.86,8980,22.31,2928.8,8273,13129.99,13256
West Jaintia Hills,2767.23,885,19550.8,5867,5.68,1137.59,2114,20024.14,6200
West Khasi Hills,679.22,395,3945.9,2274,33.28,1936.81,3499,5820.53,7132
