district,ance Rabi (Others) Insur- Number,Rabi insured PMFBY under Amount,under Rabi Farmers No. of PMFBY covered,Kharif Number (Others) Insurance,Kharif insured PMFBY under Amount,ers Kharif No. covered PMFBY of under Farm-,Loan Current Amount Year Achievement Crop
East Garo Hills,0,0,0,0,0,0,9.55
East Jaintia Hills,0,0,0,0,0,0,125.77
East Khasi Hills,0,0,0,0,0,5,711.45
North Garo Hills,0,0,0,0,0,0,15.15
Ri Bhoi,0,0,0,0,0,0,559.56
South Garo Hills,0,0,0,0,0,0,1.91
West Garo Hills,0,0,0,0,0,0,1369.57
West Jaintia Hills,0,0,0,0,0,0,685.99
West Khasi Hills,0,0,0,0,0,0,3.6
