district,Number of operative CASA,Number of Aadhaar seed- ed CASA,Number of Authenticated CASA
East Garo Hills,103026,3601,7854
East Jaintia Hills,124293,12127,5997
East Khasi Hills,983609,112522,102015
Eastern West Khasi Hills,101918,2534,1168
North Garo Hills,118694,3013,3740
Ri Bhoi,264532,17548,8272
South Garo Hills,77744,1078,3059
South West Garo Hills,125197,3921,9152
South West Khasi Hills,69588,311,408
West Garo Hills,431940,25626,30558
West Jaintia Hills,289765,17593,10282
West Khasi Hills,137561,7678,3573
