district,disb_am,disb_amt,kishore_no,sanc_amt,shishu_no,tarun_no,total_no
Alipurduar,561.09,17.98,6095.0,561.67,157127.0,219.0,163441.0
Bankura,378.86,56.13,6106.0,388.08,78391.0,757.0,85254.0
Birbhum,1018.72,75.8,21076.0,1033.72,173105.0,1002.0,195183.0
Cooch Behar,815.78,33.25,7427.0,820.88,206767.0,443.0,214637.0
Dakshin Dinajpur,454.64,26.07,7056.0,458.75,116479.0,347.0,123882.0
Howrah,1413.24,155.21,24033.0,1436.8,266552.0,2072.0,292657.0
Jalpaiguri,963.17,76.9,13338.0,977.05,246089.0,1009.0,260436.0
Kalimpong,6.71,0.0,153.0,6.71,1449.0,0.0,1602.0
Kolkata,2777.1,545.02,32534.0,2812.82,632886.0,6762.0,672182.0
Malda,1046.64,66.4,17523.0,1054.0,255770.0,931.0,274224.0
Murshidabad,2028.53,85.16,32299.0,2043.3,538073.0,1181.0,571553.0
Nadia,1412.97,118.75,21883.0,1429.64,340058.0,1534.0,363475.0
North 24 Parganas,2245.16,271.31,35640.0,2284.74,480289.0,3624.0,519553.0
Paschim Medinipur,1038.37,151.27,16275.0,1060.78,212340.0,2099.0,230714.0
Purba Bardhaman,1929.02,286.07,31571.0,1950.69,363115.0,3872.0,398558.0
Purba Medinipur,1008.48,124.93,15337.0,1025.51,208094.0,1673.0,225104.0
South 24 Parganas,1647.28,118.89,24105.0,1668.77,394765.0,1660.0,420530.0
Uttar Dinajpur,750.58,40.52,8435.0,757.03,185969.0,537.0,194941.0
