district,advance,cd_ratio,cd_ratio_as_on_march_2019,cd_ratio_as_on_march_2020_deposit
Alipurduar,2193.51,41.66,40.58,5265.8
Bankura,5164.0,43.16,42.2,11966.0
Birbhum,6153.82,40.26,40.47,15284.09
Cooch Behar,5634.0,69.95,72.31,8054.0
Dakshin Dinajpur,2521.39,57.44,52.44,4389.74
Darjeeling,10594.35,60.29,47.19,17572.46
Hooghly,11888.25,29.22,30.05,40682.67
Howrah,16062.55,41.6,40.19,38614.8
Jalpaiguri,4426.17,51.86,43.15,8534.82
Jhargram,1520.16,40.05,40.31,3795.72
Kalimpong,546.66,39.26,40.47,1392.25
Kolkata,254962.36,74.8,79.09,340836.88
Malda,6192.55,53.55,53.93,11564.91
Murshidabad,8773.1,53.75,52.96,16323.45
Nadia,13724.67,49.16,49.11,27921.13
Paschim Bardhaman,15802.29,40.29,40.07,39224.04
Paschim Medinipur,9487.67,47.3,44.15,20057.07
Purba Bardhaman,10902.99,44.01,47.44,24775.64
Purba Medinipur,11258.27,43.62,44.51,25810.08
Purulia,3567.0,43.94,43.69,8118.0
Uttar Dinajpur,4197.0,59.81,57.36,7017.0
