district,1_year_and_above,6_months_to_1_year,above_60_days_below_6_months,pending_below_60_days,total_pending_as_on_31_03_2020
Alipurduar,0.0,0.0,0.0,0.0,0.0
Bankura,11.0,1.0,1.0,1.0,14.0
Birbhum,9.0,5.0,16.0,0.0,30.0
Cooch Behar,4.0,2.0,5.0,2.0,13.0
Dakshin Dinajpur,58.0,17.0,6.0,0.0,81.0
Darjeeling,10.0,1.0,6.0,1.0,18.0
Hooghly,116.0,14.0,59.0,1.0,190.0
Howrah,59.0,7.0,69.0,2.0,137.0
Jalpaiguri,9.0,6.0,8.0,2.0,25.0
Jhargram,4.0,3.0,0.0,0.0,7.0
Kalimpong,0.0,0.0,0.0,0.0,0.0
Kolkata,158.0,81.0,51.0,7.0,297.0
Malda,55.0,31.0,3.0,0.0,89.0
Murshidabad,145.0,71.0,9.0,18.0,243.0
Nadia,46.0,9.0,8.0,1.0,64.0
Paschim Bardhaman,70.0,11.0,38.0,4.0,123.0
Paschim Medinipur,39.0,12.0,0.0,2.0,53.0
Purba Bardhaman,63.0,10.0,16.0,3.0,92.0
Purba Medinipur,99.0,9.0,4.0,1.0,113.0
Purulia,9.0,0.0,0.0,4.0,13.0
Uttar Dinajpur,40.0,6.0,10.0,0.0,56.0
