district,coir_board_no_of_unit,dic_no_of_unit,emp,kvib_no_of_unit,kvic_no_of_unit,mm,rs_in_lac_no_of_unit,total_no_of_unit
Alipurduar,0.0,30.0,8.0,30.0,15.0,9.43,1.0,75.0
Bankura,0.0,40.0,8.0,40.0,20.0,9.43,1.0,100.0
Birbhum,0.0,44.0,8.0,44.0,22.0,9.43,1.0,110.0
Cooch Behar,0.0,36.0,8.0,36.0,18.0,9.43,1.0,90.0
Dakshin Dinajpur,0.0,30.0,8.0,30.0,15.0,9.43,1.0,75.0
Darjeeling,0.0,40.0,8.0,40.0,20.0,9.43,1.0,100.0
Hooghly,0.0,70.0,8.0,70.0,35.0,9.43,1.0,175.0
Howrah,0.0,72.0,20.0,72.0,36.0,24.29,3.0,180.0
Jalpaiguri,0.0,32.0,8.0,32.0,16.0,9.43,1.0,80.0
Jhargram,0.0,30.0,8.0,30.0,15.0,9.43,1.0,75.0
Kalimpong,0.0,14.0,8.0,14.0,7.0,9.43,1.0,35.0
Kolkata,0.0,120.0,105.0,120.0,60.0,122.23,13.0,300.0
Malda,0.0,42.0,8.0,42.0,21.0,9.43,1.0,105.0
Murshidabad,0.0,66.0,8.0,66.0,33.0,9.43,1.0,165.0
Nadia,0.0,60.0,8.0,60.0,30.0,9.43,1.0,150.0
North 24 Parganas,0.0,100.0,30.0,100.0,50.0,29.74,3.0,250.0
Paschim Bardhaman,0.0,54.0,16.0,54.0,27.0,18.86,2.0,135.0
Paschim Medinipur,2.0,50.0,8.0,50.0,26.0,9.43,1.0,128.0
Purba Bardhaman,0.0,70.0,8.0,70.0,35.0,9.43,1.0,175.0
Purba Medinipur,8.0,53.0,14.0,53.0,26.0,16.86,2.0,140.0
Purulia,0.0,30.0,8.0,30.0,15.0,9.43,1.0,75.0
South 24 Parganas,5.0,75.0,15.0,75.0,37.0,18.86,2.0,192.0
Uttar Dinajpur,0.0,30.0,8.0,30.0,15.0,9.43,1.0,75.0
