district,no_of_participants,no_of_rural_branches_in_district,no_of_special_camps_conducted_during_the_quarter,no_of_target_specific_camps_conducted_during_the_quarter,target_group_addressed
Alipurduar,344.0,51.0,1.0,5.0,123456.0
Bankura,526.0,225.0,6.0,7.0,14.0
Birbhum,5984.0,212.0,97.0,99.0,123456.0
Cooch Behar,705.0,124.0,1.0,12.0,134.0
Darjeeling,521.0,76.0,7.0,13.0,135.0
Hooghly,291.0,237.0,33.0,39.0,12456.0
Howrah,1643.0,181.0,27.0,55.0,13.0
Jalpaiguri,198.0,77.0,7.0,13.0,135.0
Jhargram,23.0,82.0,1.0,1.0,12.0
Kalimpong,45.0,14.0,1.0,2.0,13.0
Kolkata,0.0,0.0,0.0,0.0,
Malda,513.0,184.0,3.0,14.0,123456.0
Murshidabad,523.0,293.0,6.0,12.0,1456.0
Nadia,2002.0,212.0,24.0,24.0,1356.0
North 24 Parganas,898.0,246.0,3.0,18.0,14.0
Paschim Bardhaman,1400.0,106.0,50.0,75.0,1256.0
Paschim Medinipur,65.0,248.0,2.0,3.0,123456.0
Purba Bardhaman,1576.0,302.0,35.0,42.0,134.0
Purba Medinipur,579.0,177.0,2.0,9.0,156.0
Purulia,247.0,114.0,27.0,14.0,126.0
South 24 Parganas,1105.0,304.0,2.0,13.0,123.0
Uttar Dinajpur,321.0,92.0,22.0,14.0,12456.0
