district,credit_linkage,no_of_programs,own,self_employed_bank,settlement,total_settled_with_wage,total_settled_without_wage,total_trained,wage_employe,wage_employed
Bankura,52.35,28.0,223.0,245.0,63.71,488.0,468.0,766.0,607.0,20.0
Birbhum,84.08,18.0,53.0,280.0,59.5,335.0,333.0,563.0,8.0,2.0
Cooch Behar,71.34,18.0,47.0,117.0,42.16,164.0,164.0,389.0,34.0,0.0
Darjeeling,95.45,20.0,6.0,126.0,24.72,132.0,132.0,534.0,40.0,0.0
Hooghly,83.43,26.0,30.0,151.0,28.91,181.0,181.0,626.0,0.0,0.0
Howrah,32.47,34.0,472.0,227.0,77.1,717.0,699.0,930.0,633.0,18.0
Jalpaiguri,75.24,21.0,26.0,79.0,19.92,105.0,105.0,527.0,221.0,0.0
Malda,55.19,27.0,164.0,202.0,46.86,366.0,366.0,781.0,594.0,0.0
Nadia,45.19,27.0,74.0,61.0,18.44,135.0,135.0,732.0,73.0,0.0
North 24 Parganas,30.83,28.0,285.0,127.0,64.84,472.0,412.0,728.0,124.0,60.0
Purba Bardhaman,83.57,25.0,47.0,239.0,39.83,286.0,286.0,718.0,0.0,0.0
Purba Medinipur,80.37,26.0,53.0,217.0,35.2,270.0,270.0,767.0,46.0,0.0
Purulia,70.37,20.0,48.0,114.0,29.29,162.0,162.0,553.0,0.0,0.0
South 24 Parganas,71.07,32.0,35.0,86.0,16.94,132.0,121.0,779.0,60.0,11.0
Uttar Dinajpur,40.81,22.0,132.0,91.0,40.8,224.0,223.0,549.0,72.0,1.0
