district,credit_linkage,no_of_programs,own,self_employed_bank,settlement,total_settled_with_wage,total_settled_without_wage,total_trained,wage_employe
Bankura,53.14,295.0,2094.0,2375.0,72.47,5076.0,4469.0,7004.0,607.0
Birbhum,74.26,224.0,1157.0,3338.0,68.3,4503.0,4495.0,6593.0,8.0
Cooch Behar,49.95,132.0,1084.0,1082.0,70.09,2200.0,2166.0,3139.0,34.0
Darjeeling,59.96,106.0,736.0,1102.0,67.75,1878.0,1838.0,2772.0,40.0
Hooghly,85.01,261.0,669.0,3793.0,67.03,4462.0,4462.0,6657.0,0.0
Howrah,24.98,604.0,9465.0,3152.0,86.83,13250.0,12617.0,15260.0,633.0
Jalpaiguri,77.72,254.0,922.0,3216.0,82.07,4359.0,4138.0,5311.0,221.0
Malda,54.81,219.0,1970.0,2389.0,75.25,4953.0,4359.0,6582.0,594.0
Nadia,43.4,207.0,2006.0,1538.0,66.92,3617.0,3544.0,5405.0,73.0
North 24 Parganas,57.19,260.0,2245.0,2999.0,80.11,5368.0,5244.0,6701.0,124.0
Purba Bardhaman,57.49,237.0,1778.0,2405.0,68.52,4183.0,4183.0,6105.0,0.0
Purba Medinipur,52.11,224.0,2216.0,2411.0,71.98,4673.0,4627.0,6492.0,46.0
Purulia,64.72,178.0,820.0,1504.0,50.49,2324.0,2324.0,4603.0,0.0
South 24 Parganas,82.05,302.0,873.0,3991.0,61.48,4924.0,4864.0,8009.0,60.0
Uttar Dinajpur,52.94,208.0,1699.0,1911.0,70.59,3682.0,3610.0,5216.0,72.0
