district,amount,kcc_disbursement_during_01_04_2019_to_31_03_2020_fresh_renewal_no,of_achievement_no,target_no
Alipurduar,82.29,22586.0,45.17,50000.0
Bankura,843.24,124907.0,89.22,140000.0
Birbhum,273.51,71896.0,43.57,165000.0
Cooch Behar,509.39,91936.0,91.94,100000.0
Dakshin Dinajpur,282.17,77891.0,70.81,110000.0
Darjeeling,78.08,21879.0,31.26,70000.0
Hooghly,1041.48,160180.0,65.38,245000.0
Howrah,260.49,57809.0,82.58,70000.0
Jalpaiguri,163.51,35882.0,59.8,60000.0
Jhargram,256.37,59795.0,62.94,95000.0
Kalimpong,25.96,8580.0,42.9,20000.0
Kolkata,0.0,0.0,,0.0
Malda,357.8,69829.0,33.25,210000.0
Murshidabad,343.0,76591.0,30.64,250000.0
Nadia,1025.29,147655.0,52.73,280000.0
Paschim Bardhaman,165.99,35917.0,35.92,100000.0
Paschim Medinipur,1672.78,301412.0,97.23,310000.0
Purba Bardhaman,1441.24,253704.0,93.96,270000.0
Purba Medinipur,1987.76,396954.0,136.88,290000.0
Purulia,138.91,45722.0,30.48,150000.0
Uttar Dinajpur,243.45,50894.0,46.27,110000.0
