district,forwarded_to_bank_no,mm,mm_claimed_no,mm_disbursed_no,pending_at_bank_no,pending_for_mm_disb_no,rejected_by_bank_no,sanctioned_by_bank_no
Alipurduar,758.0,0.06,48.0,47.0,106.0,1.0,596.0,58.0
Bankura,242.0,0.0,61.0,61.0,53.0,0.0,138.0,68.0
Birbhum,308.0,0.01,77.0,78.0,79.0,1.0,160.0,82.0
Cooch Behar,1440.0,0.13,78.0,77.0,392.0,4.0,965.0,95.0
Dakshin Dinajpur,165.0,0.0,47.0,49.0,49.0,0.0,85.0,41.0
Howrah,323.0,0.04,77.0,77.0,98.0,2.0,177.0,78.0
Jalpaiguri,205.0,0.0,14.0,15.0,42.0,0.0,157.0,17.0
Jhargram,37.0,0.0,0.0,0.0,6.0,0.0,20.0,11.0
Kalimpong,66.0,0.0,8.0,9.0,58.0,0.0,8.0,8.0
Kolkata,192.0,0.02,14.0,13.0,51.0,1.0,133.0,10.0
Malda,263.0,0.01,34.0,34.0,86.0,1.0,158.0,27.0
Murshidabad,1605.0,0.0,170.0,171.0,611.0,0.0,811.0,216.0
Nadia,648.0,0.05,218.0,216.0,125.0,2.0,305.0,240.0
North 24 Parganas,2688.0,0.1,220.0,218.0,654.0,4.0,1818.0,263.0
Paschim Bardhaman,100.0,0.0,11.0,11.0,17.0,0.0,72.0,12.0
Paschim Medinipur,728.0,0.02,78.0,77.0,276.0,1.0,386.0,76.0
Purba Bardhaman,454.0,0.0,71.0,71.0,146.0,0.0,266.0,73.0
Purba Medinipur,2931.0,0.12,557.0,572.0,1179.0,3.0,1370.0,579.0
Purulia,295.0,0.09,38.0,39.0,171.0,1.0,105.0,34.0
South 24 Parganas,1238.0,0.12,200.0,199.0,456.0,2.0,675.0,201.0
Uttar Dinajpur,47.0,0.0,2.0,2.0,24.0,0.0,21.0,3.0
