district,active_shgs_no,amount,disbursed_no,pending_no,sanctioned_no,sponsored_no,target_disb_no
Alipurduar,489.0,0.0,0.0,0.0,0.0,0.0,3.0
Bankura,1945.0,0.0,0.0,0.0,0.0,1.0,12.0
Birbhum,3065.0,0.0,0.0,0.0,0.0,0.0,22.0
Cooch Behar,1459.0,0.0,0.0,0.0,0.0,0.0,17.0
Dakshin Dinajpur,1707.0,0.0,0.0,0.0,0.0,0.0,8.0
Darjeeling,1773.0,0.0,0.0,0.0,0.0,0.0,7.0
Hooghly,4490.0,0.03,2.0,0.0,2.0,1.0,39.0
Howrah,1210.0,0.0,0.0,0.0,0.0,0.0,8.0
Jalpaiguri,1381.0,0.0,0.0,0.0,0.0,0.0,11.0
Jhargram,412.0,0.0,0.0,0.0,0.0,0.0,3.0
Kalimpong,104.0,0.0,0.0,0.0,0.0,0.0,2.0
Kolkata,656.0,0.0,0.0,0.0,0.0,0.0,5.0
Malda,584.0,0.0,0.0,0.0,0.0,0.0,11.0
Murshidabad,4493.0,0.0,0.0,0.0,0.0,0.0,27.0
Nadia,4929.0,0.0,0.0,0.0,0.0,0.0,32.0
North 24 Parganas,13318.0,0.02,2.0,0.0,2.0,2.0,74.0
Paschim Bardhaman,1869.0,0.0,0.0,0.0,0.0,0.0,7.0
Paschim Medinipur,2963.0,0.06,4.0,0.0,4.0,5.0,21.0
Purba Bardhaman,2585.0,0.0,0.0,0.0,0.0,0.0,20.0
Purba Medinipur,2685.0,0.05,3.0,0.0,3.0,2.0,18.0
Purulia,724.0,0.0,0.0,0.0,0.0,0.0,6.0
South 24 Parganas,2937.0,0.0,0.0,0.0,0.0,0.0,23.0
Uttar Dinajpur,1807.0,0.0,0.0,0.0,0.0,0.0,14.0
