district,no_of_block_affected,no_of_mouza_affected
Hooghly,18.0,2019.0
Murshidabad,8.0,542.0
North 24 Parganas,22.0,1657.0
Paschim Medinipur,21.0,5593.0
Purba Medinipur,25.0,3100.0
South 24 Parganas,30.0,2119.0
