district,amount,sep_group_no,sep_individual_no,shg_credit_linkage_no
Alipurduar,0.16,8.0,45.0,140.0
Bankura,0.12,6.0,49.0,325.0
Birbhum,0.34,17.0,222.0,890.0
Cooch Behar,0.4,20.0,122.0,480.0
Dakshin Dinajpur,0.24,12.0,65.0,474.0
Darjeeling,0.14,7.0,95.0,265.0
Hooghly,0.5,25.0,322.0,1012.0
Howrah,0.06,3.0,50.0,270.0
Jalpaiguri,0.18,9.0,110.0,370.0
Jhargram,0.02,1.0,20.0,70.0
Kalimpong,0.02,1.0,15.0,30.0
Kolkata,0.08,4.0,100.0,150.0
Malda,0.34,17.0,88.0,200.0
Murshidabad,1.48,74.0,290.0,1056.0
Nadia,0.4,20.0,244.0,1077.0
North 24 Parganas,1.42,71.0,981.0,3148.0
Paschim Bardhaman,0.04,2.0,58.0,355.0
Paschim Medinipur,0.24,12.0,205.0,881.0
Purba Bardhaman,0.46,23.0,156.0,484.0
Purba Medinipur,0.3,15.0,85.0,565.0
Purulia,0.04,2.0,80.0,155.0
South 24 Parganas,0.44,22.0,167.0,730.0
Uttar Dinajpur,0.58,29.0,131.0,473.0
