district,no_of_shgs,amount_sanctioned,outstanding_accounts,outstanding_amount,avg_ticket_size_loan_outstanding
Dhalai,2589,3803.85,5380,3879.4,0.72
Gomati,2348,4125.97,6337,4829.17,0.76
Khowai,1471,1865.73,2728,1911.47,0.7
North Tripura,1932,2390.99,3269,2164.62,0.66
Sepahijala,1721,2710.55,3707,2673.07,0.72
South Tripura,3091,6950.48,8472,7876.32,0.93
Unakoti,1898,2686.96,3062,2390.01,0.78
West Tripura,3040,4442.19,6033,4499.12,0.75
