district,population_census,pmjdy_accounts_population_no_of_pmjdy_no_of_pmjdy_no_of_pmjdy_per_one_lakh_sl_district_census_accounts_as_on_accoun,total_no_of_eligible_pmjdy_accounts_for_pmsby_enrolment_male,total_no_of_eligible_pmjdy_accounts_for_pmsby_enrolment_female,out_of_total_eligible_pmjdy_enrolment_of_pmsby_male,out_of_total_eligible_pmjdy_enrolment_of_pmsby_female,no_of_pmjdy_population_no_of_no_of_no_of_accounts_per_pmjdy_sl_district_census_pmjdy_one_lakh_accounts,total_women_pmjdy_women_accounts_per_no_of_women_no_of_women_no_of_women
Dhalai,404091,104391,44872,43175,46908,31842,104391,57846
Gomati,482759,105625,43998,36458,69852,47309,105625,56476
Khowai,342864,92989,26152,25172,44383,29915,92989,52315
North Tripura,454133,126850,33746,32454,51476,37575,126850,67992
Sepahijala,585320,85746,36128,29727,51581,34996,85746,49390
South Tripura,421618,121123,44650,32026,75942,55402,121123,69004
Unakoti,265766,84253,36918,35545,48571,32095,84253,49662
West Tripura,717366,230480,209076,100673,203441,138023,230480,129513
