district,enrolment_of_apy_male,enrolment_of_apy_female
Dhalai,6706,5728
Gomati,9720,10087
Khowai,5891,5407
North Tripura,10089,9001
Sepahijala,8161,7420
South Tripura,16836,15197
Unakoti,5291,4803
West Tripura,27265,24861
