district,cd_ratio,no_of_brs,total_deposit,total_advance
Dhalai,96,49,138560.51,132851.46
Gomati,64,65,244829.26,157289.17
Khowai,63,41,165546.66,104405.53
North Tripura,59,49,209119.09,123971.22
Sepahijala,67,59,217579.99,146332.67
South Tripura,63,63,241663.75,152828.71
Unakoti,66,35,131624.03,87508.25
West Tripura,47,210,2335054.72,1094473.84
