district,eligible_operative_savings_accounts_district_no_of_accounts,eligible_operative_savings_accounts_district_of_which_no_of_women_accounts,debit_rupay_cards_coverage_total_no_of_accounts_covered,debit_rupay_cards_coverage_pct_coverage,debit_rupay_cards_coverage_out_of_total_no_of_women_accounts_g6_no_of_women_accounts_covered,debit_rupay_cards_coverage_pct_coverage_for_women_accounts,internet_banking_coverage_total_no_of_accounts_covered,internet_banking_coverage_pct_coverage,internet_banking_coverage_out_of_total_no_of_women_accounts_g6_no_of_women_accounts_covered,internet_banking_coverage_pct_coverage_for_women_accounts,mobile_banking_upi_ussd_coverage_total_no_of_accounts_covered,mobile_banking_upi_ussd_coverage_pct_coverage,mobile_banking_upi_ussd_coverage_out_of_total_no_of_women_accounts_g6_no_of_women_accounts_covered,mobile_banking_upi_ussd_coverage_pct_coverage_for_women_accounts,aeps_coverage_total_no_of_accounts_covered,aeps_coverage_pct_coverage,aeps_coverage_out_of_total_no_of_women_accounts_g6_no_of_women_accounts_covered,aeps_coverage_pct_coverage_for_women_accounts,coverage_with_at_least_one_of_the_digital_modes_of_payment_debit_rupay_cards_internet_banking_mobile_banking_upi_ussd_aeps_total_no_of_accounts_covered,coverage_with_at_least_one_of_the_digital_modes_of_payment_debit_rupay_cards_internet_banking_mobile_banking_upi_ussd_aeps_pct_coverage,coverage_with_at_least_one_of_the_digital_modes_of_payment_debit_rupay_cards_internet_banking_mobile_banking_upi_ussd_aeps_out_of_total_no_of_women_accounts_g6_no_of_women_accounts_covered,coverage_with_at_least_one_of_the_digital_modes_of_payment_debit_rupay_cards_internet_banking_mobile_banking_upi_ussd_aeps_pct_coverage_for_women_accounts,no_of_operative_sb_accounts_ineligible_for_digital_coverage_as_per_bank_s_board_approved_policies,coverage_percentage_pct_of_eligible_savings_accounts_through_any_one_digital_mode,coverage_percentage_pct_of_eligible_current_accounts_through_any_one_digital_mode,pct_coverage,out_of_total_no_of_women_accounts_g6_no_of_women_accounts_covered,pct_coverage_for_women_accounts,of_which_no_of_women_accounts,eligible_operative_current_business_accounts_covered_through_net_banking_no_of_accounts_covered,eligible_operative_current_business_accounts_covered_through_net_banking_pct_coverage,eligible_operative_current_business_accounts_covered_with_pos_qr_no_of_accounts_covered,eligible_operative_current_business_accounts_covered_with_pos_qr_pct_coverage,eligible_operative_current_business_accounts_covered_with_mobile_banking_etc_no_of_accounts_covered,eligible_operative_current_business_accounts_covered_with_mobile_banking_etc_pct_coverage,eligible_operative_current_business_accounts_covered_with_at_least_one_of_facilities_net_banking_pos_qr_mobile_banking_no_of_accounts_covered,eligible_operative_current_business_accounts_covered_with_at_least_one_of_facilities_net_banking_pos_qr_mobile_banking_pct_coverage
Dhalai,493804,252210,154624,28.63,69655,25.76,32014,5.93,13336,4.93,76548,15.5,47669,18.9,460881,85.35,226754,83.86,516277,95.61,262096,96.93,3221,95.61,81.65,18.42,56435,20.87,270403,1328,32.06,1978,47.75,1711,41.31,3382,81.65
Gomati,722841,364646,222743,32.75,109000,30.96,75086,11.04,26953,7.66,230790,31.93,114464,31.39,587282,86.35,292805,83.17,661587,97.27,346649,98.46,5223,97.27,88.47,27.83,101729,28.9,352064,1950,29.74,3401,51.88,2740,41.79,5800,88.47
Khowai,442206,229950,154254,33.05,69279,29.22,37686,8.08,17272,7.29,88792,20.08,51391,22.35,382139,81.89,190895,80.52,439905,94.26,228850,96.53,1605,94.26,84.39,24.1,64262,27.11,237072,1112,26.02,1898,44.42,1704,39.88,3606,84.39
North Tripura,504855,253281,201033,38.07,95728,35.81,55142,10.44,20972,7.84,98828,19.58,55683,21.98,443333,83.96,217139,81.22,505415,95.72,261099,97.67,4006,95.72,83.73,24.52,63068,23.59,267332,2157,32.17,3466,51.69,2474,36.89,5615,83.73
Sepahijala,674959,336762,220556,33.64,104532,31.47,56661,8.64,23986,7.22,177218,26.26,91341,27.12,536830,81.88,262641,79.06,621458,94.79,321893,96.9,3176,94.79,85.74,28.58,101941,30.69,332186,1720,26.9,2516,39.34,2705,42.3,5483,85.74
South Tripura,679178,330353,185974,28.01,80287,24.66,49807,7.5,11830,3.63,122902,18.1,60457,18.3,559159,84.22,271608,83.41,634897,95.63,316627,97.24,3498,95.63,79.24,21.05,66693,20.48,325615,1431,23.67,3067,50.74,2418,40,4790,79.24
Unakoti,370478,190485,130686,33.59,60427,30.81,36499,9.38,14241,7.26,69503,18.76,41751,21.92,330841,85.04,163970,83.61,375152,96.44,191614,97.7,1278,96.44,84.23,23.48,47961,24.45,196123,1376,27.89,1870,37.9,2074,42.03,4156,84.23
West Tripura,1639905,703651,930369,56.89,376791,48.53,435082,26.6,146973,18.93,692239,42.21,234218,33.29,1291616,78.98,488980,62.98,1635441,100,776351,100,72872,100,100,45.46,322516,41.54,776351,18211,56.76,18224,56.8,21024,65.52,32087,100
