Sl No.,BankName,Priority Sec- tor Advance (PSA),Non Priority Sector Ad- vance,Total Advance,Weaker Sec- tion Advance (WSA),PSA to Tot. Adv (%),WSA to PSA (%),WSA to Tot. Adv (%)
1,BOB,18793.07,35419,54212,6577.05,34.67,35,12.13
2,BOI,4976,3567,8543,0,58.25,0,0
3,BOM,1848.28,573,2421,0,76.34,0,0
4,CAN,12529.54,11001,23531,8687.32,53.25,69.33,36.92
5,CBI,8262.56,12873,21136,585.55,39.09,7.09,2.77
6,IND,5167.87,3538,8706,319.37,59.36,6.18,3.67
7,IOB,6242.26,3554,9796,0,63.72,0,0
8,PNB,19562.63,85548,105111,17978.09,18.61,91.9,17.1
9,PSB,242.6,236,479,55.78,50.65,22.99,11.65
10,SBI,362463.79,618550,981014,58399.89,36.95,16.11,5.95
11,UCO,4646.58,2576,7223,4652.41,64.33,100.13,64.41
12,UNI,12444.99,8098,20543,7059.37,60.58,56.72,34.36
Pub,Total,457180.17,785533,1242715,104314.83,36.79,22.82,8.39
1,AXIS,5730.02,114856,120586,2435.2,4.75,42.5,2.02
2,BAND,1229.3,4994,6223,1124.93,19.75,91.51,18.08
3,FED,11572.65,7659,19232,353.28,60.17,3.05,1.84
4,HDFC,33505.44,106052,139557,11860.71,24.01,35.4,8.5
5,ICICI,9268.29,46715,55983,2140.3,16.56,23.09,3.82
6,IDBI,2290.13,5866,8156,848,28.08,37.03,10.4
7,IDFC,225.46,8430,8655,0,2.6,0,0
8,INDUS,5074.87,15104,20179,4308.03,25.15,84.89,21.35
9,KMB,0,1951,1951,0,0,,0
10,SIB,177.14,534,711,0,24.91,0,0
11,YES,154.97,2270,2425,40.26,6.39,25.98,1.66
Priv,Total,69228.27,314431,383658,23110.71,18.04,33.38,6.02
1,ESAF,8.64,119,128,0,6.75,0,0
2,JSF,0,0,0,0,,,
3,SSFB,1138.05,491,1629,0.18,69.86,0.02,0.01
4,UJJIVAN,3300.93,666,3967,243.18,83.21,7.37,6.13
Small FB,Total,4447.62,1276,5724,243.36,77.7,5.47,4.25
1,MLRB,104854.63,55334,160189,103919.17,65.46,99.11,64.87
RRB,Total,104854.63,55334,160189,103919.17,65.46,99.11,64.87
1,JUCB,9453.79,2641,12095,3978.61,78.16,42.08,32.89
2,MCAB,176516.14,17038,193554,0,91.2,0,0
3,SCUB,7215.84,5041,12257,6692.98,58.87,92.75,54.61
4,TCUB,1107.2,204,1311,0,84.45,0,0
All Banks,Total,830003.66,1181498,2011503,242259.66,41.26,29.19,12.04
1,NEDFI,21756.73,0,21756.73,0,100,0,0
1,RIDF,103337.88,0,103337.88,0,100,0,0
Grand,Total,955098.27,1181498,2136597.61,242259.66,44.7,25.36,11.34
