Sl No.,Bank Name,Deposit Amount (D),Advances Amount (A),Credit Utilize (CU),Total Credit (TC=A+CU),CDR1,CDR2,Investment Amount (I),TC + I,CDR3
1,BOB,162829.22,54212.35,0,54212.35,33.29,33.29,0,54212.35,33.29
2,BOI,18179,8543.35,0,8543.35,47,47,0,8543.35,47
3,BOM,3216.59,2420.78,0,2420.78,75.26,75.26,0,2420.78,75.26
4,CAN,83181.94,23531.01,0,23531.01,28.29,28.29,0,23531.01,28.29
5,CBI,54563.37,21136.09,0,21136.09,38.74,38.74,0,21136.09,38.74
6,IND,41233.14,8706.4,0,8706.4,21.12,21.12,0,8706.4,21.12
7,IOB,33492.33,9795.88,0,9795.88,29.25,29.25,0,9795.88,29.25
8,PNB,146262.36,105110.6,0,105110.6,71.86,71.86,0,105110.6,71.86
9,PSB,7373,479,0,479,6.5,6.5,0,479,6.5
10,SBI,1721721.43,981013.55,26777.46,1007791.01,56.98,58.53,387875,1395666.01,81.06
11,UCO,32915.88,7223.49,0,7223.49,21.95,21.95,0,7223.49,21.95
12,UNI,65601.01,20542.83,0,20542.83,31.31,31.31,0,20542.83,31.31
Pub,Total,2370569.27,1242715.33,26777.46,1269492.79,52.42,53.55,387875,1657367.79,69.91
1,AXIS,106059.18,120586.39,0,120586.39,113.7,113.7,0,120586.39,113.7
2,BAND,22311.86,6223.13,0,6223.13,27.89,27.89,0,6223.13,27.89
3,FED,79381.79,19232.2,0,19232.2,24.23,24.23,0,19232.2,24.23
4,HDFC,389633.22,139557.01,0,139557.01,35.82,35.82,0,139557.01,35.82
5,ICICI,114584.33,55982.59,0,55982.59,48.86,48.86,0,55982.59,48.86
6,IDBI,16200,8156,0,8156,50.35,50.35,0,8156,50.35
7,IDFC,34285.77,8654.58,0,8654.58,25.24,25.24,0,8654.58,25.24
8,INDUS,15910.46,20178.64,0,20178.64,126.83,126.83,0,20178.64,126.83
9,KMB,5214.54,1950.77,0,1950.77,37.41,37.41,0,1950.77,37.41
10,SIB,14967.25,711.25,0,711.25,4.75,4.75,0,711.25,4.75
11,YES,46059.36,2425.34,0,2425.34,5.27,5.27,0,2425.34,5.27
Priv,Total,844607.76,383657.9,0,383657.9,45.42,45.42,0,383657.9,45.42
1,ESAF,1886.88,128.44,0,128.44,6.81,6.81,0,128.44,6.81
2,JSF,4768,0,0,0,0,0,0,0,0
3,SSFB,17570,1628.94,0,1628.94,9.27,9.27,0,1628.94,9.27
4,UJJIVAN,6788.64,3966.85,0,3966.85,58.43,58.43,3966.85,7933.7,116.87
Small FB,Total,31013.52,5724.23,0,5724.23,18.46,18.46,3966.85,9691.08,31.25
1,MLRB,387712.84,160189.28,0,160189.28,41.32,41.32,100740.5,260929.78,67.3
RRB,Total,387712.84,160189.28,0,160189.28,41.32,41.32,100740.5,260929.78,67.3
1,JUCB,26342.1,12094.67,0,12094.67,45.91,45.91,200,12294.67,46.67
2,MCAB,392711.11,193554.38,0,193554.38,49.29,49.29,221345.93,414900.31,105.65
3,SCUB,35358.07,12256.51,0,12256.51,34.66,34.66,21129.46,33385.97,94.42
4,TCUB,6411.51,1311.04,0,1311.04,20.45,20.45,4869.12,6180.16,96.39
Co-op,Total,460822.79,219216.6,0,219216.6,47.57,47.57,247544.51,466761.11,101.29
Banks,Total,4094726.18,2011503.34,26777.46,2038280.8,49.12,49.78,740126.86,2778407.66,67.85
1,NEDFI,0,21756.73,0,21756.73,,,0,21756.73,
2,RIDF,0,103337.88,0,103337.88,,,0,103337.88,
Grand,Total,4094726.18,2136597.95,26777.46,2163375.41,52.18,52.83,740126.86,2903502.27,70.91
