4,Banks to increase sanctioning PM Surya Muft Bijli Yojana and PM Vish- wakarma from present level. SLBC and Industries Deptt to chalk out plan to organise district wise loan melas for PM Vishwakarma,All Banks & SLBC,"Cumulatively banks have sanctioned 386 num- bers of PM Surya Ghar for Rs 6.01 cr (SBI 374 numbers Rs 5.86 cr and MRB 12 number Rs 0.15 crores). During the quarter July to Sept 2025, banks sanctioned 148 number amount- ing to Rs 1.95 crores (SBI 140 no Rs 1.85 cr and MRB 8 for Rs 0.10 crores). In PM Vishwakar- ma banks have sanctioned 58 loans amounting to Rs 49.65 lakhs. SBI has sanctioned 42 loans for Rs 33 lakhs and MRB 16 loans for Rs 16.65 lakhs. However, SBI has disbursed only 9 loans for Rs 8.45 lakhs and MRB 9 numbers for Rs 8.90 lakhs. LDMs and District Industries Cen- tre have chalked out detailed programs for all districts."
5,All Banks urged to participate in CM Elevate Scheme,All Bank,No other banks apart from the existing 5 banks have joined the scheme till now.
6,Banks to focus on APY during the cur- rent year,All Banks,Banks have enrolled 11321 numbers against an annual target of 34010 which is 33% as on 30.09.2025. It improved to 18801 as on 30.11.2025 or 55% of the annual target.
7,Axis Bank to make Rongara Branch functional by 25th December 2025,Axis,Lease Agreement executed; internal work re- quired.
8,Banks to focus on PM Svanidhi 2.0 and to ensure that all eligible beneficiaries should be sanctioned.,All Banks,There are 9520 applications in the portal. Banks have sanctioned 159 number amounting to Rs 79.61 lakhs. Two banks with highest contribu- tion are SBI 87 numbers amounting to Rs 53.98 lakhs and MRB 26 numbers amounting to Rs 11.45 lakhs. Contribution by other banks is negligible.
9,Matrix Score to be reviewed to give a fair score to smaller banks,Secy Finance and SLBC,Revised Matrix Formulae prepared and will be placed in the house for approval.
